language,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
c,102793462,251465943,501759075,140080993,129122791,66445538,50373863,136167221,381776921,103981321
javascript,76444963,70857313,141021066,321384970,114075909,156079188,106659276,163857082,148534874,176910077
c++,70120110,34593081,120745285,121555832,246811822,47335329,101044130,120100347,134025181,107717735
java,21002169,24457770,97797470,56245915,78457787,48240302,100700494,49493381,113639513,216513141
objective-c,25633187,31950312,56760097,36561315,34468868,225261323,23933868,34057127,95110921,131173562
python,18247335,20177750,59995890,45506158,44430617,21223897,28636725,74154567,33075368,56892387
php,18846333,58152633,82756821,32349050,28621044,12176023,12873851,19881270,96296752,15476200
scala,680433,2450730,2741659,6979048,3612285,1401188,1602873,6696765,5278586,259386674
c#,6602894,13277300,38241539,41273262,10566502,4981591,33182582,22290077,40046413,9874315
ruby,60370929,30317376,13770204,18662982,8109194,29546008,13676367,10303845,6712091,4505777
actionscript,3064751,108196823,7468545,34922592,2464117,6696134,330871,3022551,85943,147010
css,2985,3227,8157,6997328,12106619,18027084,18355849,12147746,15171864,25418170
emacs lisp,12877275,49121270,3280180,1170820,624574,613992,21710,38068,648138,107804
go,4902977,230901,196088,1092800,1458989,5703997,2887166,3528018,20723100,26917775
assembly,29503,14306147,10450892,14873408,525069,346956,5800135,3278737,8235432,7362329
shell,2324785,7801784,6311136,7514588,8076111,2944649,2233777,6842106,5309926,7757175
perl,3847820,2619319,4639384,5511131,4748587,966135,575307,3580614,1981310,1254687
clojure,13553442,2062834,1254474,2314642,2395588,1020794,150597,886666,457552,1828305
asp,89125,171546,213602,182350,6884,55373,176645,8780,18081597,37761
vim script,1185695,342882,232535,2020126,2332736,691453,100190,8912808,584329,888473
coffeescript,14055,245877,1332117,1634690,693093,1397001,1374608,5017072,1070284,3466206
groovy,4501031,517494,20650,233293,146474,60160,400566,3562641,1209483,1874033
lua,300083,324811,1371773,1261943,3306878,1019492,528291,1044889,1124571,759627
haskell,375283,155785,349245,801458,34103,196871,334866,191885,343321,390134
r,321390,212913,58328,27509,269719,207256,170685,12910,56734,695966
