language,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
go,0.9362,1.0,0.7233,0.6524,0.8516,0.7484,0.7289,0.7333,0.8116,0.711
java,0.5191,0.6089,0.6984,0.7086,0.7869,0.8782,0.8471,0.8281,0.8016,0.6825
objective-c,0.6552,0.7632,0.7597,0.7821,0.7719,0.7824,0.7347,0.6461,0.6684,0.3395
clojure,0.753,0.6978,0.7235,0.7704,0.7755,0.6727,0.4588,0.5505,0.888,0.5247
javascript,0.564,0.6967,0.6959,0.663,0.6292,0.6372,0.6224,0.6572,0.6389,0.6107
scala,0.8961,0.7075,0.7688,0.5232,0.6556,0.6767,0.5956,0.4991,0.6102,0.2363
vim script,0.8083,0.6123,0.5932,0.6663,0.651,0.3794,0.7583,0.703,0.4803,0.4851
c#,0.7004,0.6276,0.6347,0.5036,0.6704,0.3905,0.6937,0.6623,0.6882,0.5344
python,0.6591,0.6648,0.5909,0.5355,0.5951,0.4961,0.5011,0.5076,0.5052,0.4611
php,0.5554,0.6493,0.6502,0.5438,0.5271,0.5133,0.5415,0.4579,0.5434,0.5126
haskell,0.5599,0.4848,0.3833,0.4353,0.5734,0.492,0.6317,0.6417,0.1891,0.4141
actionscript,0.5381,0.7421,0.549,0.735,0.4087,0.5951,0.0295,0.4201,0.1137,0.3689
ruby,0.8014,0.754,0.6308,0.4822,0.357,0.2776,0.2445,0.2314,0.2009,0.1929
c++,0.3962,0.4058,0.4084,0.2812,0.3161,0.2907,0.369,0.3074,0.4002,0.3517
r,0.2045,0.4408,0.5062,0.1832,0.4818,0.0525,0.2685,0.3883,0.0765,0.6555
c,0.4147,0.3039,0.3405,0.3517,0.3434,0.2528,0.307,0.368,0.2524,0.2346
lua,0.4058,0.3099,0.1891,0.3246,0.5412,0.0403,0.2701,0.4071,0.4482,0.1685
coffeescript,0.27844364760187806,0.3063,0.3513,0.3797,0.2999,0.1997,0.3208,0.3684,0.3036,0.2505
emacs lisp,0.439,0.4618,0.3396,0.18,0.3459,0.1974,0.0311,0.334,0.5113,0.1143
groovy,0.3549,0.1798,0.013878471634151391,0.1186,0.0791,0.174,0.3444,0.1327,0.1797,0.2381
css,0.002707704030260974,0.08839158540593843,0.0222,0.2595,0.2584,0.1828,0.1906,0.149,0.1474,0.1447
perl,0.1659,0.188,0.1972,0.1351,0.0872,0.068,0.0511,0.1455,0.1215,0.2784
assembly,0.0061,0.1731,0.032,0.1106,0.0397,0.0887,0.179,0.2151,0.13,0.1441
shell,0.1028,0.0905,0.1078,0.1071,0.1032,0.1012,0.1187,0.1125,0.0843,0.1352
asp,0.0252,0.0068,0.0186,0.0333,0.0018,0.0565,0.0305,0.0008,0.1788,0.0008
