antecedents,consequents,confidience,cluster_topics
9,css_html,0.6666666666666667,['editor markdown']
10,html_shell,1.0,['conversion']
11,css_html,1.0,['socket']
12,css_html,1.0,['cross browser animation animation fabulous animate project']
13,css_html,1.0,['visualise']
43,java_python,1.0,['native']
45,java_python,1.0,['vagrant']
20,makefile_python,1.0,['precision']
16,html_ruby,1.0,['parser']
25,html_javascript,1.0,['phone']
26,css_html,1.0,['technique comparison']
27,css_html,1.0,['router']
29,css_html,1.0,['static']
30,css_javascript,1.0,['animation']
31,css_javascript,1.0,['educational']
33,c_javascript,1.0,['runtime']
34,css_javascript,1.0,['example']
36,python_shell,1.0,['physical']
35,makefile_ruby,1.0,['macos']
38,css_html,1.0,['development environment']
42,css_html,1.0,['github']
46,css_html,1.0,['polyfill']
41,css_html,1.0,['sample']
49,c++_makefile,1.0,['elegant']
48,html_shell,1.0,['application']
39,html_javascript,1.0,['ground']
21,ruby_shell,1.0,['objective']
18,css_html,1.0,['property']
4,css_html,1.0,['reactcnode']
22,css_html,1.0,['password']
