id,size,forks,open_issues,subscribers_count,stargazers_count,language_dictionary,owner_type,url,pushed_at,topics,description
26500787,63617,1590,222,718,43934,"{'clojure': 13163, 'css': 1166, 'html': 3621, 'purebasic': 596, 'python': 6617, 'shell': 7602}",User,https://api.github.com/repos/tonsky/FiraCode,2019-12-26T23:46:07Z,"['font', 'ligatures', 'programming-ligatures']",monospaced font with programming ligatures
81975372,22793,8735,67,2341,41615,{'java': 674404},User,https://api.github.com/repos/kdn251/interviews,2019-12-28T14:53:10Z,"['algorithm', 'algorithm-challenges', 'algorithm-competitions', 'algorithms', 'coding-challenge', 'coding-challenges', 'coding-interview', 'coding-interviews', 'interview', 'interview-practice', 'interview-prep', 'interview-preparation', 'interview-questions', 'interviews', 'leetcode', 'leetcode-java', 'leetcode-questions', 'leetcode-solutions', 'technical-coding-interview']",everything you need to know to get the job
3065454,4202,6858,56,1322,35501,"{'css': 22001, 'html': 22374, 'javascript': 365137}",Organization,https://api.github.com/repos/impress/impress.js,2019-12-07T09:40:19Z,[],it s a presentation framework based on the power of css transforms and transitions in modern browsers and inspired by the idea behind prezi com
29268051,56807,5321,366,1300,31533,"{'css': 273085, 'html': 291550, 'javascript': 231754}",Organization,https://api.github.com/repos/google/material-design-lite,2019-10-10T12:03:56Z,"['material', 'material-components', 'material-design', 'material-design-lite', 'mdl']",material design components in html and css and js
58836534,20709,4538,12,1061,28295,"{'c++': 973, 'css': 14305, 'html': 1286, 'java': 1144, 'javascript': 90874}",Organization,https://api.github.com/repos/algorithm-visualizer/algorithm-visualizer,2019-12-08T18:16:22Z,"['algorithm', 'animation', 'data-structure', 'visualization']",fireworks interactive online platform that visualizes algorithms from code
42751014,1773,3398,74,444,27904,{'javascript': 23295},User,https://api.github.com/repos/zenorocha/clipboard.js,2019-12-27T23:58:41Z,['clipboard'],scissors modern copy to clipboard no flash just kb gzipped clipboard
75830968,8908,8092,46,2226,27730,"{'makefile': 259, 'python': 3401, 'shell': 698, 'tex': 1720830}",Organization,https://api.github.com/repos/exacity/deeplearningbook-chinese,2019-12-03T04:25:44Z,[],deep learning book chinese translation
1844251,72844,13683,157,1191,26182,"{'css': 5664, 'html': 27183, 'javascript': 140917, 'shell': 1552}",Organization,https://api.github.com/repos/tastejs/todomvc,2019-12-18T19:18:29Z,[],helping you select an mv framework todo apps for react ember and many more
63266213,6545,2430,123,1085,25570,{'shell': 928},Organization,https://api.github.com/repos/open-guides/og-aws,2019-12-24T10:01:26Z,[],amazon web services a practical guide
70905478,3626,5810,75,2169,25423,{'python': 4577},User,https://api.github.com/repos/floodsung/Deep-Learning-Papers-Reading-Roadmap,2019-11-27T15:21:37Z,['deep-learning'],deep learning papers reading roadmap for anyone who are eager to learn this amazing tech
25315643,87026,1402,1041,468,24479,"{'batchfile': 182, 'coffeescript': 1327058, 'css': 358951, 'html': 1257645, 'javascript': 3304557, 'php': 328, 'python': 2360, 'shell': 16516, 'visual basic': 334}",Organization,https://api.github.com/repos/nylas/nylas-mail,2019-10-20T16:05:11Z,"['babel', 'electron', 'email', 'flux', 'linux', 'macos', 'nylas-mail', 'productivity', 'react', 'windows']",an extensible desktop mail app built on the modern web forks welcome
137147386,227,1960,31,668,23831,{'shell': 6805},User,https://api.github.com/repos/dylanaraps/pure-bash-bible,2019-12-17T20:44:33Z,"['bash', 'bible', 'book', 'guide', 'handbook', 'how-to', 'learning', 'list', 'reference', 'script', 'shell-scripts']",a collection of pure bash alternatives to external processes
122692377,815061,5046,107,1327,23549,"{'css': 160321, 'html': 120543}",User,https://api.github.com/repos/houshanren/hangzhou_house_knowledge,2019-12-13T11:32:25Z,"['hangzhou', 'knowledge']",    sharing the knowledge of buy an own house that according to the experience at hangzhou in  to all the people it s not easy to buy a own so i hope that it would be useful to everyone
481366,5251,2443,307,613,23433,{'shell': 6641},User,https://api.github.com/repos/nvie/gitflow,2019-11-13T18:06:35Z,[],git extensions to provide high level repository operations for vincent driessen s branching model
11620669,75624,595,215,6690,22609,"{'c#': 1074112, 'css': 85875, 'html': 23520}",Organization,https://api.github.com/repos/CodeHubApp/CodeHub,2019-10-11T01:10:49Z,"['c-sharp', 'codehub', 'github', 'reactiveui']",codehub is an ios application written using xamarin
15585444,962,4859,29,864,22331,"{'css': 285455, 'html': 19604, 'javascript': 2096}",User,https://api.github.com/repos/IanLunn/Hover,2019-11-27T22:08:02Z,"['css-effects', 'sass']",a collection of css powered hover effects to be applied to featured images and so on easily apply to your own modify or just use for inspiration available in and less
18280236,8632,3215,1007,735,21919,{'javascript': 380713},Organization,https://api.github.com/repos/GitbookIO/gitbook,2019-12-13T15:49:06Z,[],modern documentation format and toolchain using git and markdown
23736449,158,3606,292,554,20866,{'javascript': 43009},User,https://api.github.com/repos/VincentGarreau/particles.js,2019-12-19T15:24:30Z,[],a lightweight javascript library for creating particles
995750,935,2378,192,723,20833,"{'erlang': 423, 'vim script': 46945}",Organization,https://api.github.com/repos/VundleVim/Vundle.vim,2019-10-23T10:16:59Z,[],the plug in manager for vim
28751632,15539,2273,35,1333,20677,"{'dockerfile': 60, 'python': 1790, 'shell': 732}",User,https://api.github.com/repos/0xAX/linux-insides,2019-12-16T12:02:52Z,"['linux', 'linux-insides', 'linux-kernel']",a little bit about a linux kernel
72907253,1011,9357,20,1221,20618,"{'css': 96, 'dockerfile': 176, 'html': 21607, 'java': 229057}",User,https://api.github.com/repos/ityouknow/spring-boot-examples,2019-12-20T06:59:31Z,"['docker', 'docker-composer', 'fastdfs', 'mongodb', 'mybatis', 'rabbitmq', 'scheduler', 'spring', 'spring-boot', 'spring-boot-examples', 'spring-boot-mail', 'spring-boot-mongodb', 'spring-boot-upload-file', 'spring-cloud', 'spring-data-jpa', 'springboot', 'springboot-shiro', 'springcloud', 'thymeleaf']",about learning spring boot via examples spring boot   
60325062,147,3982,32,2032,20554,"{'python': 5084, 'tex': 30348}",User,https://api.github.com/repos/terryum/awesome-deep-learning-papers,2019-12-25T07:46:10Z,"['deep-learning', 'deep-neural-networks', 'machine-learning']",the most cited deep learning papers
9603240,455,2084,19,815,20512,"{'css': 20396, 'html': 61569, 'javascript': 10931}",Organization,https://api.github.com/repos/pure-css/pure,2019-10-27T04:46:50Z,['pure'],a set of responsive css modules that you can use in every web project
24635156,3724,2829,133,493,20498,"{'css': 27915, 'html': 7621, 'javascript': 11822, 'typescript': 46357}",User,https://api.github.com/repos/t4t5/sweetalert,2019-07-26T20:23:16Z,"['alert', 'dialog', 'modal', 'popup', 'sweetalert', 'ui']",a beautiful replacement for javascript s alert
12244426,344,1652,115,439,20282,"{'css': 4381, 'html': 5549, 'javascript': 16398}",User,https://api.github.com/repos/rstacruz/nprogress,2019-01-22T08:47:20Z,[],for slim progress bars like on etc
32665718,7811,649,220,416,19674,"{'dockerfile': 187, 'html': 15614, 'typescript': 399197}",Organization,https://api.github.com/repos/railsware/upterm,2019-05-20T17:42:14Z,"['console', 'electron', 'pty', 'react', 'terminal', 'terminal-emulators', 'terminals', 'tty']",a terminal emulator for the st century
1580851,28134,2973,561,602,19576,"{'css': 29949, 'html': 44055, 'javascript': 122255}",User,https://api.github.com/repos/dimsemenov/PhotoSwipe,2019-10-29T13:45:49Z,[],javascript image gallery for mobile and framework independent
33895378,1832,1739,231,399,19553,"{'css': 5140, 'html': 11622, 'javascript': 55505}",User,https://api.github.com/repos/bevacqua/dragula,2019-10-22T07:00:15Z,"['component', 'drag-and-drop', 'drag-drop', 'dragging', 'front-end', 'vanilla']",drag and drop so simple it hurts
18347476,54604,6035,40,1500,19524,"{'html': 35552, 'java': 2065, 'kotlin': 1403369, 'shell': 9569}",Organization,https://api.github.com/repos/google/iosched,2019-12-04T14:04:29Z,[],the google i and o  android app
20965586,1105,3095,95,651,19262,"{'objective-c': 1389, 'ruby': 683, 'swift': 160698}",Organization,https://api.github.com/repos/SwiftyJSON/SwiftyJSON,2019-12-07T21:27:25Z,"['carthage', 'cocoapods', 'json', 'json-parser', 'json-parsing-library', 'json-parsing-swift', 'request', 'response', 'swift4-2', 'swiftyjson', 'xcode10']",the better way to deal with json data in swift
34757182,7572,2909,54,887,19024,"{'c++': 654, 'python': 1467402}",User,https://api.github.com/repos/donnemartin/interactive-coding-challenges,2019-10-22T16:06:47Z,"['algorithm', 'coding', 'competitive-programming', 'data-structure', 'development', 'interview', 'interview-practice', 'interview-questions', 'programming']", and interactive python coding interview challenges algorithms and data structures includes anki flashcards
18511024,10166,3226,72,1024,18590,"{'css': 4883, 'html': 22283, 'javascript': 13218}",Organization,https://api.github.com/repos/google/web-starter-kit,2019-12-28T12:31:37Z,[],web starter kit a workflow for multi device websites
14807173,5986,3229,74,1682,18565,"{'assembly': 20356, 'c': 518507, 'c++': 142301, 'makefile': 9623, 'ruby': 4779, 'shell': 456}",User,https://api.github.com/repos/SamyPesse/How-to-Make-a-Computer-Operating-System,2019-02-11T22:32:16Z,[],how to make a computer operating system in c and and
133251103,3520,666,49,273,18491,"{'dockerfile': 314, 'go': 223034, 'makefile': 3901, 'shell': 2187}",User,https://api.github.com/repos/wagoodman/dive,2019-12-28T17:29:58Z,"['cli', 'docker', 'docker-image', 'explorer', 'inspector', 'tui']",a tool for exploring each layer in a docker image
15975439,1090,2070,8,440,18399,{'javascript': 50701},Organization,https://api.github.com/repos/scrollreveal/scrollreveal,2019-10-01T18:18:24Z,"['animation', 'reveal', 'scroll', 'scrollreveal', 'transform', 'transition', 'unpkg']",animate elements as they scroll into view
45942274,7137,2027,208,281,18396,"{'javascript': 927377, 'shell': 211}",Organization,https://api.github.com/repos/airbnb/enzyme,2019-12-30T06:53:05Z,"['assertion-library', 'assertions', 'ava', 'chai', 'enzyme', 'jest', 'mocha', 'react', 'react-components', 'test', 'test-runners', 'testing', 'traversal']",javascript testing utilities for react
7240954,20700,2378,156,413,18227,"{'powershell': 1386, 'shell': 1683}",Organization,https://api.github.com/repos/powerline/fonts,2019-11-04T07:29:46Z,[],patched fonts for powerline users
8900723,858,3132,204,633,17940,"{'go': 113076, 'html': 7255, 'javascript': 34386, 'makefile': 1433}",User,https://api.github.com/repos/inconshreveable/ngrok,2019-11-02T04:48:13Z,[],introspected tunnels to localhost
29749635,49025,5523,11,1543,17923,"{'css': 1612, 'dockerfile': 191, 'makefile': 684, 'python': 19488744}",User,https://api.github.com/repos/donnemartin/data-science-ipython-notebooks,2019-10-25T10:21:39Z,"['aws', 'big-data', 'caffe', 'data-science', 'deep-learning', 'hadoop', 'kaggle', 'keras', 'machine-learning', 'mapreduce', 'matplotlib', 'numpy', 'pandas', 'scikit-learn', 'scipy', 'spark', 'tensorflow', 'theano']",data science python notebooks deep learning keras scikit big data hadoop hdfs python and various command lines
3428345,326,3204,291,531,17915,"{'html': 83172, 'javascript': 25999, 'makefile': 749}",Organization,https://api.github.com/repos/ftlabs/fastclick,2019-06-13T15:57:41Z,[],polyfill to remove click delays on browsers with touch uis
37246537,4952,947,172,293,17800,"{'html': 502, 'javascript': 107704}",User,https://api.github.com/repos/chenglou/react-motion,2019-12-28T06:38:41Z,[],a spring that solves your animation problems
1685764,6398,2970,139,516,17249,{'css': 11452},User,https://api.github.com/repos/dhg/Skeleton,2019-12-11T01:57:46Z,[],skeleton a dead responsive boilerplate for mobile friendly development
26102180,259506,2879,35,570,17172,{'kotlin': 279243},User,https://api.github.com/repos/afollestad/material-dialogs,2019-12-04T19:45:48Z,"['alert', 'android', 'androidx', 'bottomsheets', 'dialogs', 'material-design']",a and extensible dialogs api for kotlin android
