label_id,repository_count,cluster_topics,languages,combinations
19,86,['visualization'],"['css', 'html', 'shell', 'javascript', 'c++', 'makefile', 'python', 'dockerfile', 'cmake', 'ruby', 'c', 'batchfile']","{'makefile shell': 9, 'css html': 7, 'makefile python shell': 7, 'css html shell': 5, 'html makefile shell': 4, 'css html javascript': 4, 'css html javascript shell': 4, 'html python shell': 4, 'css javascript shell': 4, 'ruby shell': 4, 'html javascript shell': 3, 'html javascript': 3, 'css javascript': 2, 'c++ makefile shell': 2, 'python shell': 2, 'javascript python': 2, 'css html makefile': 2, 'html python': 2, 'makefile python': 2, 'css makefile shell': 2, 'batchfile shell': 2, 'html shell': 2, 'dockerfile html shell': 1, 'cmake python': 1, 'html makefile': 1, 'c python shell': 1, 'dockerfile makefile': 1, 'c++ shell': 1, 'dockerfile html': 1, 'c makefile': 1}"
16,103,['parser'],"['css', 'html', 'shell', 'javascript', 'python', 'makefile', 'dockerfile', 'perl', 'c', 'c++', 'batchfile', 'ruby', 'cmake']","{'makefile python shell': 15, 'css html javascript shell': 14, 'css html': 7, 'css html shell': 5, 'ruby shell': 5, 'css html javascript': 4, 'html python shell': 4, 'html makefile shell': 4, 'html python': 4, 'dockerfile html': 3, 'c python shell': 3, 'html javascript': 3, 'makefile python': 3, 'css makefile shell': 2, 'makefile shell': 2, 'dockerfile shell': 2, 'perl shell': 2, 'html shell': 2, 'c++ makefile shell': 2, 'batchfile shell': 2, 'html makefile': 2, 'cmake shell': 2, 'javascript shell': 1, 'python shell': 1, 'css javascript': 1, 'javascript python': 1, 'html javascript shell': 1, 'c++ python': 1, 'css html makefile': 1, 'c makefile shell': 1, 'c python': 1, 'c++ shell': 1, 'css javascript shell': 1}"
18,43,['copycopter server source service'],"['makefile', 'python', 'shell', 'c', 'html', 'css', 'javascript', 'c++', 'dockerfile']","{'makefile python shell': 6, 'css html javascript shell': 5, 'html makefile shell': 3, 'css html javascript': 3, 'css html': 3, 'c python shell': 2, 'html makefile': 2, 'python shell': 2, 'makefile shell': 2, 'css html shell': 2, 'html javascript': 2, 'css javascript shell': 2, 'c makefile': 1, 'c++ makefile shell': 1, 'css shell': 1, 'dockerfile html shell': 1, 'html python shell': 1, 'dockerfile shell': 1, 'dockerfile makefile': 1, 'c makefile shell': 1, 'html python': 1}"
3,48,['application'],"['css', 'html', 'shell', 'javascript', 'dockerfile', 'ruby', 'makefile', 'python', 'c++', 'objective-c', 'batchfile']","{'css html javascript shell': 5, 'c++ makefile shell': 5, 'css html shell': 4, 'css html': 4, 'makefile python shell': 4, 'ruby shell': 3, 'css html javascript': 3, 'objective-c shell': 3, 'makefile shell': 3, 'css html makefile': 3, 'html shell': 2, 'html makefile shell': 2, 'dockerfile html': 1, 'dockerfile html shell': 1, 'javascript shell': 1, 'batchfile shell': 1, 'dockerfile shell': 1, 'css shell': 1, 'python shell': 1}"
2,103,['django avatar'],"['makefile', 'python', 'c++', 'shell', 'css', 'html', 'javascript', 'dockerfile', 'c', 'batchfile', 'ruby', 'perl']","{'css html javascript shell': 11, 'css html': 10, 'makefile python shell': 10, 'css html javascript': 8, 'makefile shell': 7, 'html shell': 5, 'c++ makefile shell': 4, 'html python shell': 4, 'ruby shell': 4, 'css html shell': 3, 'c python shell': 3, 'python shell': 3, 'dockerfile html shell': 3, 'c makefile shell': 3, 'html javascript': 2, 'html javascript shell': 2, 'c++ makefile': 2, 'html makefile shell': 2, 'html python': 2, 'dockerfile shell': 2, 'html makefile': 2, 'makefile python': 1, 'javascript python': 1, 'dockerfile html': 1, 'css shell': 1, 'css javascript shell': 1, 'batchfile shell': 1, 'c html': 1, 'c c++': 1, 'css html makefile': 1, 'perl shell': 1, 'javascript shell': 1}"
26,55,['interface'],"['makefile', 'python', 'shell', 'css', 'html', 'javascript', 'dockerfile', 'c', 'c++', 'ruby']","{'css html javascript shell': 8, 'css html': 6, 'makefile shell': 6, 'makefile python shell': 5, 'html javascript': 3, 'c makefile shell': 3, 'css html shell': 2, 'dockerfile shell': 2, 'makefile python': 2, 'python shell': 2, 'css javascript': 1, 'html shell': 1, 'html makefile': 1, 'c python shell': 1, 'c++ makefile shell': 1, 'ruby shell': 1, 'javascript python': 1, 'html makefile shell': 1, 'javascript shell': 1, 'c++ python': 1, 'css html javascript': 1, 'c++ shell': 1, 'html python shell': 1, 'c makefile': 1, 'css shell': 1, 'javascript makefile': 1}"
44,54,['native'],"['makefile', 'python', 'shell', 'css', 'html', 'javascript', 'c', 'dockerfile', 'c++', 'batchfile', 'ruby', 'objective-c']","{'makefile python shell': 8, 'css html javascript shell': 6, 'html makefile shell': 4, 'css html javascript': 4, 'html python shell': 4, 'html shell': 3, 'makefile python': 3, 'objective-c shell': 3, 'css html': 2, 'c makefile': 2, 'javascript shell': 2, 'batchfile shell': 2, 'ruby shell': 2, 'html javascript': 1, 'dockerfile html shell': 1, 'c python shell': 1, 'c++ makefile shell': 1, 'dockerfile shell': 1, 'makefile shell': 1, 'javascript python': 1, 'c makefile shell': 1, 'css html makefile': 1}"
37,94,['standalone local interface repository'],"['css', 'html', 'javascript', 'shell', 'makefile', 'c', 'python', 'dockerfile', 'c++', 'batchfile', 'ruby', 'objective-c']","{'css html javascript shell': 17, 'makefile python shell': 9, 'css html': 6, 'makefile shell': 4, 'html javascript': 4, 'c python shell': 4, 'css html javascript': 4, 'makefile python': 4, 'html python shell': 4, 'javascript makefile': 3, 'css javascript shell': 3, 'html makefile shell': 3, 'python shell': 3, 'css html shell': 3, 'c makefile shell': 2, 'html javascript shell': 2, 'c++ python': 2, 'batchfile shell': 2, 'dockerfile html shell': 2, 'ruby shell': 2, 'html python': 2, 'css html makefile': 2, 'html shell': 1, 'dockerfile html': 1, 'c makefile': 1, 'javascript shell': 1, 'dockerfile shell': 1, 'css javascript': 1, 'objective-c shell': 1}"
1,61,['basilisk sheepshaver macintosh emulator'],"['makefile', 'python', 'shell', 'javascript', 'css', 'html', 'dockerfile', 'batchfile', 'c', 'c++', 'ruby']","{'makefile python shell': 9, 'html makefile shell': 5, 'css html': 5, 'css html javascript': 4, 'makefile shell': 4, 'css html shell': 3, 'css html javascript shell': 3, 'python shell': 3, 'html python shell': 3, 'html javascript': 2, 'dockerfile html shell': 2, 'css shell': 2, 'javascript shell': 1, 'css dockerfile': 1, 'batchfile shell': 1, 'c python shell': 1, 'c++ shell': 1, 'dockerfile makefile': 1, 'dockerfile shell': 1, 'ruby shell': 1, 'css python': 1, 'html python': 1, 'c++ makefile shell': 1, 'c shell': 1, 'html shell': 1, 'c++ makefile': 1, 'css html makefile': 1, 'html javascript shell': 1}"
48,76,['script download subtitle series episode'],"['makefile', 'python', 'shell', 'html', 'css', 'javascript', 'dockerfile', 'c++', 'c', 'cmake', 'batchfile', 'perl', 'objective-c']","{'css html javascript shell': 10, 'css html': 9, 'makefile python shell': 6, 'makefile shell': 5, 'html makefile shell': 4, 'css javascript shell': 4, 'css html shell': 4, 'dockerfile html shell': 2, 'html shell': 2, 'css javascript': 2, 'html javascript': 2, 'css html javascript': 2, 'cmake shell': 2, 'c makefile shell': 2, 'batchfile shell': 2, 'html python shell': 2, 'c makefile': 2, 'c++ makefile': 1, 'c c++': 1, 'html python': 1, 'c cmake': 1, 'dockerfile html': 1, 'python shell': 1, 'perl shell': 1, 'c python shell': 1, 'objective-c shell': 1, 'makefile python': 1, 'html javascript shell': 1, 'c++ python': 1, 'javascript makefile': 1, 'dockerfile shell': 1}"
39,63,['iconv binding'],"['css', 'html', 'shell', 'javascript', 'makefile', 'ruby', 'python', 'dockerfile', 'objective-c', 'c', 'cmake', 'c++']","{'css html javascript shell': 10, 'makefile shell': 5, 'css html': 5, 'html makefile shell': 3, 'html shell': 3, 'css html javascript': 3, 'makefile python': 3, 'dockerfile makefile': 3, 'javascript makefile': 3, 'ruby shell': 2, 'css html makefile': 2, 'javascript python': 2, 'makefile python shell': 2, 'html python shell': 2, 'css html shell': 1, 'css dockerfile': 1, 'css javascript': 1, 'objective-c shell': 1, 'dockerfile html': 1, 'html javascript shell': 1, 'c makefile shell': 1, 'html javascript': 1, 'c cmake': 1, 'c python': 1, 'c++ makefile shell': 1, 'c python shell': 1, 'dockerfile javascript': 1, 'python shell': 1, 'c++ python': 1}"
40,74,['simple jekyll template'],"['css', 'html', 'javascript', 'shell', 'makefile', 'python', 'batchfile', 'perl', 'c', 'ruby', 'cmake', 'c++', 'dockerfile']","{'css html': 12, 'makefile python shell': 7, 'css html javascript shell': 6, 'css html javascript': 6, 'html shell': 5, 'html javascript': 4, 'css javascript shell': 3, 'python shell': 3, 'css javascript': 2, 'html makefile': 2, 'perl shell': 2, 'css html shell': 2, 'html makefile shell': 2, 'ruby shell': 2, 'makefile python': 2, 'c cmake': 2, 'makefile shell': 2, 'batchfile shell': 1, 'html python shell': 1, 'c shell': 1, 'css shell': 1, 'javascript python': 1, 'c makefile': 1, 'c c++': 1, 'dockerfile html shell': 1, 'c++ makefile shell': 1, 'javascript makefile': 1}"
20,89,['friendly original telegram client'],"['css', 'html', 'javascript', 'shell', 'dockerfile', 'makefile', 'python', 'c', 'c++', 'cmake', 'perl', 'batchfile']","{'css html javascript shell': 10, 'makefile python shell': 10, 'css html javascript': 9, 'dockerfile html shell': 5, 'css html': 5, 'css html makefile': 5, 'html shell': 4, 'makefile shell': 4, 'html javascript': 4, 'html python shell': 3, 'c++ makefile shell': 3, 'css javascript shell': 3, 'c makefile shell': 3, 'css html shell': 2, 'css javascript': 2, 'html javascript shell': 2, 'dockerfile html': 2, 'makefile python': 2, 'c python shell': 1, 'c shell': 1, 'javascript shell': 1, 'cmake shell': 1, 'html makefile': 1, 'perl shell': 1, 'html python': 1, 'batchfile shell': 1, 'dockerfile shell': 1, 'html makefile shell': 1, 'c html': 1}"
43,83,['webrtc streamer source'],"['html', 'shell', 'python', 'ruby', 'makefile', 'css', 'javascript', 'c', 'dockerfile', 'perl', 'c++', 'objective-c', 'cmake', 'batchfile']","{'css html': 9, 'makefile python shell': 8, 'html shell': 6, 'ruby shell': 6, 'css html javascript': 6, 'html javascript shell': 4, 'css javascript': 4, 'makefile shell': 3, 'css javascript shell': 3, 'html makefile shell': 3, 'css html javascript shell': 3, 'html python shell': 2, 'perl shell': 2, 'makefile python': 2, 'python shell': 2, 'objective-c shell': 2, 'cmake python': 2, 'html makefile': 1, 'c makefile shell': 1, 'dockerfile html': 1, 'javascript python': 1, 'html python': 1, 'javascript shell': 1, 'c++ shell': 1, 'css html shell': 1, 'c python': 1, 'dockerfile shell': 1, 'css html makefile': 1, 'c++ makefile shell': 1, 'c cmake': 1, 'batchfile shell': 1, 'c python shell': 1, 'dockerfile javascript': 1}"
14,68,['database migration utility source control'],"['css', 'html', 'makefile', 'shell', 'dockerfile', 'python', 'c', 'batchfile', 'javascript', 'ruby', 'c++', 'cmake']","{'css html': 10, 'makefile python shell': 5, 'makefile shell': 4, 'css html shell': 4, 'css html javascript shell': 4, 'html makefile shell': 3, 'batchfile html': 3, 'html shell': 3, 'css javascript shell': 3, 'makefile python': 2, 'html javascript': 2, 'c python shell': 2, 'html python shell': 2, 'ruby shell': 2, 'css html javascript': 2, 'dockerfile shell': 1, 'c makefile shell': 1, 'html javascript shell': 1, 'css html makefile': 1, 'css makefile shell': 1, 'html makefile': 1, 'dockerfile html shell': 1, 'c++ shell': 1, 'c cmake': 1, 'javascript shell': 1, 'batchfile shell': 1, 'c++ makefile': 1, 'python shell': 1, 'css javascript': 1, 'c++ makefile shell': 1, 'javascript makefile': 1, 'html python': 1}"
24,102,['simple jquery_plugin'],"['css', 'html', 'shell', 'makefile', 'python', 'javascript', 'dockerfile', 'c', 'perl', 'ruby', 'c++', 'cmake', 'batchfile']","{'css html javascript shell': 13, 'css javascript': 8, 'css html': 7, 'css html shell': 7, 'c python shell': 7, 'css html javascript': 5, 'makefile shell': 5, 'html javascript': 5, 'makefile python shell': 4, 'css html makefile': 4, 'html shell': 4, 'python shell': 3, 'html python shell': 3, 'css javascript shell': 2, 'dockerfile shell': 2, 'c html': 2, 'dockerfile makefile': 2, 'html makefile shell': 2, 'makefile python': 2, 'css makefile shell': 1, 'dockerfile html shell': 1, 'c makefile shell': 1, 'perl shell': 1, 'ruby shell': 1, 'html makefile': 1, 'html javascript shell': 1, 'css shell': 1, 'css makefile': 1, 'javascript python': 1, 'javascript makefile': 1, 'c c++': 1, 'c cmake': 1, 'batchfile shell': 1, 'dockerfile html': 1}"
38,113,['library general_purpose input output'],"['css', 'html', 'makefile', 'python', 'shell', 'javascript', 'ruby', 'dockerfile', 'c', 'c++', 'cmake']","{'css html': 13, 'css html javascript': 12, 'makefile shell': 10, 'html shell': 7, 'makefile python shell': 6, 'css html javascript shell': 6, 'html makefile shell': 6, 'css html shell': 4, 'makefile python': 4, 'css html makefile': 4, 'css javascript shell': 3, 'ruby shell': 3, 'dockerfile html': 3, 'css javascript': 3, 'c++ makefile shell': 3, 'python shell': 2, 'html javascript': 2, 'html python': 2, 'c++ python': 2, 'c makefile shell': 2, 'html python shell': 2, 'css shell': 2, 'c++ makefile': 2, 'html makefile': 2, 'dockerfile shell': 2, 'javascript shell': 1, 'c shell': 1, 'css python': 1, 'javascript makefile': 1, 'c python shell': 1, 'c cmake': 1}"
