combo_id,combination,count,distribution
0,css html,1399,0.06031732344571872
1,html shell,1237,0.053332758472018627
2,makefile shell,1033,0.04453738035698888
3,css shell,917,0.03953608691903079
4,html javascript,908,0.039148055531603
5,css javascript,864,0.03725101319306717
6,python shell,770,0.033198240924376995
7,javascript shell,765,0.03298266793136156
8,css html shell,731,0.0315167715788566
9,css html javascript,650,0.028024489092006555
10,html javascript shell,562,0.024230404414934896
11,c shell,556,0.023971716823316374
12,dockerfile shell,524,0.022592049668017592
13,css javascript shell,523,0.022548935069414505
14,html makefile,520,0.022419591273605242
15,makefile python,471,0.020306975942053978
16,c++ shell,461,0.01987582995602311
17,batchfile shell,454,0.0195740277658015
18,css html javascript shell,433,0.018668621195136674
19,html python,420,0.018108131413296542
20,c++ makefile,377,0.0162542036733638
21,c makefile,376,0.016211089074760713
22,makefile python shell,369,0.015909286884539103
23,css makefile,360,0.015521255497111322
24,html makefile shell,358,0.015435026299905149
25,cmake shell,357,0.015391911701302061
26,dockerfile html,353,0.015219453306889712
27,ruby shell,335,0.014443390532034146
28,c python,326,0.014055359144606363
29,css python,323,0.013926015348797102
30,html python shell,310,0.013365525566956972
31,javascript python,309,0.013322410968353885
32,javascript makefile,299,0.012891264982323014
33,c++ makefile shell,296,0.012761921186513753
34,c++ python,291,0.012546348193498319
35,c makefile shell,290,0.012503233594895231
36,objective-c shell,290,0.012503233594895231
37,dockerfile makefile,287,0.01237388979908597
38,css dockerfile,275,0.011856514615848926
39,dockerfile html shell,275,0.011856514615848926
40,css html makefile,272,0.011727170820039665
41,c cmake,271,0.011684056221436579
42,cmake python,260,0.011209795636802621
43,css makefile shell,254,0.010951108045184099
44,perl shell,252,0.010864878847977925
45,batchfile html,250,0.010778649650771752
46,c html,249,0.010735535052168664
47,dockerfile javascript,249,0.010735535052168664
48,c python shell,243,0.010476847460550142
49,c c++,240,0.010347503664740881
