language_count,project_count,distribution
4,888,0.22981366459627328
6,422,0.10921325051759834
10,133,0.034420289855072464
5,578,0.14958592132505175
20,20,0.005175983436853002
17,28,0.007246376811594203
13,68,0.017598343685300208
2,1289,0.333592132505176
3,1227,0.31754658385093165
11,118,0.030538302277432712
7,283,0.07324016563146998
14,52,0.013457556935817806
16,31,0.008022774327122154
8,221,0.05719461697722567
23,9,0.002329192546583851
9,156,0.040372670807453416
19,16,0.004140786749482402
18,20,0.005175983436853002
15,33,0.008540372670807454
25,9,0.002329192546583851
32,3,0.0007763975155279503
12,69,0.017857142857142856
21,12,0.003105590062111801
22,10,0.002587991718426501
34,3,0.0007763975155279503
65,1,0.0002587991718426501
149,1,0.0002587991718426501
88,1,0.0002587991718426501
40,2,0.0005175983436853002
26,3,0.0007763975155279503
78,1,0.0002587991718426501
37,1,0.0002587991718426501
24,3,0.0007763975155279503
41,2,0.0005175983436853002
43,2,0.0005175983436853002
30,2,0.0005175983436853002
31,2,0.0005175983436853002
29,2,0.0005175983436853002
33,1,0.0002587991718426501
27,3,0.0007763975155279503
51,1,0.0002587991718426501
35,2,0.0005175983436853002
28,2,0.0005175983436853002
