antecedents,consequents,antecedents_support,consequents_suport,support,confidience,lift,leaverage,conviction
css_dockerfile,2,0.002,0.01,0.002,1.0,100.0,0.00198,inf
cmake_shell,6,0.002,0.034,0.002,1.0,29.41176470588235,0.0019320000000000001,inf
dockerfile_javascript,6,0.002,0.034,0.002,1.0,29.41176470588235,0.0019320000000000001,inf
css_python,14,0.002,0.018,0.002,1.0,55.55555555555556,0.001964,inf
c_cmake,11,0.002,0.022,0.002,1.0,45.45454545454546,0.001956,inf
css_makefile,17,0.004,0.018,0.002,0.5,27.77777777777778,0.001928,1.964
batchfile_html,18,0.002,0.028,0.002,1.0,35.714285714285715,0.001944,inf
cmake_python,20,0.004,0.034,0.002,0.5,14.705882352941176,0.001864,1.932
c_shell,20,0.002,0.034,0.002,1.0,29.41176470588235,0.0019320000000000001,inf
c_c++,21,0.004,0.03,0.002,0.5,16.666666666666668,0.00188,1.94
objective-c_shell,26,0.002,0.012,0.002,1.0,83.33333333333333,0.001976,inf
c_c++,27,0.004,0.02,0.002,0.5,25.0,0.00192,1.96
cmake_python,31,0.004,0.02,0.002,0.5,25.0,0.00192,1.96
css_makefile,35,0.004,0.034,0.002,0.5,14.705882352941176,0.001864,1.932
