language,count,count_distribution,bytes,bytes_distribution,percentage_avg,percentage_std,percentage_median,percentage_max,percentage_min
javascript,2057,0.08783091374893254,1614105157,0.08060113202827172,0.3581,0.3717,0.1742,0.9992232451981728,1.0902061131000613e-06
css,1878,0.08018787361229718,174110742,0.008694305227030729,0.0745,0.142,0.0203,0.9572713270730859,1.7709436080087162e-06
html,2331,0.09953031596925704,1202561385,0.0600504920910096,0.1056,0.1801,0.03,0.9971250934097656,6.553542519996109e-07
shell,2600,0.11101622544833475,115300158,0.005757569894089987,0.0314,0.1138,0.0031,0.9926417638817969,5.22783604683051e-07
typescript,193,0.008240819812126387,346946108,0.017324923928486665,0.3326,0.3543,0.1587,0.9999357754780119,4.8700014001254025e-05
vue,47,0.0020068317677198974,8932135,0.0004460305385353198,0.1242,0.1719,0.046,0.7175164309379403,4.7075359438297274e-05
c++,940,0.04013663535439795,2447079087,0.12219609343265957,0.335,0.3723,0.1169,0.999546328416897,2.8673062288787053e-07
coffeescript,125,0.00533731853116994,16539231,0.0008258946052528377,0.1731,0.2767,0.0264,0.9899109291232218,4.466975015570599e-06
c,1102,0.04705380017079419,3979176796,0.19870214335622205,0.3056,0.3565,0.0907,0.9978570445603726,2.8673062288787053e-07
python,1490,0.06362083689154568,1409502960,0.07038422105307715,0.3083,0.3885,0.0554,0.9999391017896909,7.515578855520136e-07
makefile,1455,0.06212638770281811,54944755,0.00274369326732536,0.0142,0.0615,0.0032,0.9381397019213503,6.788645225101835e-07
powershell,183,0.007813834329632792,11324045,0.0005654717365722972,0.016,0.0862,0.0012,0.9560662615294444,1.491091604774183e-05
roff,249,0.01063193851409052,20451861,0.0010212737017386666,0.0241,0.0871,0.0028,0.865681678204786,1.7395261110151e-06
perl,343,0.014645602049530316,105381037,0.005262253725959187,0.0576,0.1635,0.0036,0.9854950461970862,1.2456988510072423e-06
ruby,716,0.030572160546541417,418022837,0.02087417522318821,0.2517,0.3679,0.0138,0.9999590349615631,1.5212178322326436e-06
assembly,161,0.006874466268146883,105115511,0.005248994555024675,0.051,0.1454,0.0054,0.9739173027614866,3.2428782820264186e-06
objective-c,459,0.01959863364645602,208314527,0.010402287993020752,0.1618,0.3074,0.0082,0.9976611041455619,1.3505501846019215e-06
smpl,8,0.0003415883859948762,174436,8.710547144657694e-06,0.0002,0.0001,0.0002,0.00046100318714894877,6.093226862815292e-05
yacc,76,0.0032450896669513236,3222837,0.0001609339449886902,0.0136,0.0237,0.0047,0.12279922517920815,0.00014802242734902215
lex,65,0.002775405636208369,2727375,0.00013619280721101592,0.0077,0.0199,0.0018,0.124667414362927,4.428718904251904e-05
awk,56,0.0023911187019641333,1013737,5.062145389015946e-05,0.0208,0.1317,0.0006,0.9860496021640656,3.7313524447842024e-06
unrealscript,1,4.269854824935952e-05,17732,8.854561097999852e-07,2.155767926928775e-05,2.155767926928775e-05,2.155767926928775e-05,2.155767926928775e-05,2.155767926928775e-05
gherkin,73,0.003116994022203245,6030355,0.00030112873217983814,0.0723,0.1182,0.0156,0.5781162159480862,5.824508216250355e-07
m4,231,0.009863364645602049,16573805,0.0008276210748862815,0.0212,0.0358,0.0105,0.2835510487696771,4.04236880049525e-06
clojure,52,0.0022203245089666953,16528384,0.0008253529549921226,0.458,0.4421,0.3627,0.9938506408925302,1.627889270334779e-06
xs,9,0.0003842869342442357,1368628,6.834310989416502e-05,0.0116,0.0151,0.0026,0.03531980905332259,1.5063142688161247e-06
perl 6,36,0.0015371477369769428,7376093,0.00036832881870645735,0.0348,0.154,0.0007,0.9258225168937333,1.4066227675708283e-06
sed,30,0.0012809564474807857,107930,5.389537442517054e-06,0.0013,0.0053,0.0001,0.028907464433663647,4.6076925575569914e-07
java,577,0.024637062339880444,3021982279,0.15090416606405557,0.4854,0.4175,0.4948,0.9999034435350043,1.3378844626727464e-05
objective-c++,118,0.005038428693424424,15994948,0.0007987155669147898,0.0335,0.0955,0.0039,0.6155919991523529,4.54303209866402e-06
kotlin,52,0.0022203245089666953,72154985,0.0036030945364750894,0.2358,0.3284,0.0313,0.9984148141095825,1.4063827386830265e-05
cmake,442,0.018872758326216908,37483330,0.001871748452749215,0.0192,0.0244,0.011,0.21655681158430382,1.3574208397939726e-05
batchfile,655,0.027967549103330488,3474630,0.00017350735183816393,0.0037,0.0226,0.0004,0.5,4.1881987277832355e-08
swift,84,0.0035866780529461998,35443659,0.0017698964817965956,0.3287,0.3668,0.1306,0.9883328036940717,6.404029530768679e-06
go,238,0.010162254483347566,510026976,0.025468446991992466,0.5903,0.4129,0.825,0.9999430303315485,2.7848286318586097e-05
fortran,13,0.0005550811272416738,55626044,0.0027777137674150016,0.0463,0.1355,0.0013,0.49510590687137357,7.935266432713261e-06
dtrace,17,0.0007258753202391119,129357,6.459505188100422e-06,0.0015,0.0028,0.0002,0.008882739215120233,5.8184682658502905e-06
emacs lisp,96,0.004099060631938514,11286926,0.0005636181811166426,0.1361,0.3012,0.0008,0.9918450940758559,1.1214144846470207e-06
r,55,0.0023484201537147735,14435044,0.0007208209962233034,0.1465,0.2958,0.0031,0.9670953481362403,8.456323511877329e-07
dockerfile,770,0.032877882152006835,2747499,0.000137197709013047,0.0097,0.0489,0.0009,0.7221204268221246,3.6589013506081034e-06
lua,141,0.0060204953031596925,54142104,0.0027036124962906733,0.1013,0.2218,0.0072,0.9853059977215108,2.0982694058808876e-05
angelscript,10,0.0004269854824935952,1527702,7.628654804047243e-05,0.0145,0.0399,0.0008,0.12787138452319372,4.1044267570477536e-05
php,418,0.017847993168232282,852206088,0.04255532863909,0.4014,0.4066,0.253,0.9998653004949563,2.738341157551574e-06
jsoniq,3,0.00012809564474807857,19298,9.636550872388965e-07,0.0031,0.0052,0.0001,0.009066855195296963,2.003243766222553e-05
webassembly,4,0.0001707941929974381,66234,3.3074272488434594e-06,0.0409,0.0508,0.0283,0.10691147685606374,0.00020283814503963668
smarty,95,0.0040563620836891546,7636173,0.0003813160409620845,0.0118,0.0285,0.0014,0.16222884369994298,1.8239745956818313e-06
groovy,104,0.0044406490179333905,24705611,0.001233686792594841,0.0456,0.145,0.0018,0.8964920767634732,3.31678328059184e-06
antlr,14,0.0005977796754910333,213182,1.064534764264496e-05,0.0014,0.0015,0.0006,0.005251573326953719,0.00015790855213734835
tsql,201,0.008582408198121264,170289657,0.008503497474982732,0.0339,0.1127,0.0029,0.9137185493234984,3.38611645240665e-06
freemarker,31,0.001323654995730145,4660611,0.00023272989427876263,0.011,0.0267,0.0014,0.13075378759448883,4.698818082271585e-07
c#,198,0.008454312553373186,1688581095,0.08432012449021539,0.4941,0.4331,0.6002,0.9997025322892427,1.5190945156373048e-05
pov-ray sdl,4,0.0001707941929974381,4084786,0.00020397579071314246,0.0762,0.1508,0.0009,0.3023116443985394,0.0004254445876451905
purebasic,3,0.00012809564474807857,12881,6.432190475035872e-07,0.0061,0.0104,0.0002,0.01819014191973142,2.1300568651732764e-05
rust,51,0.0021776259607173354,74396082,0.003715004813449171,0.5058,0.4484,0.6338,0.9990010839536755,2.1881491818300047e-05
pascal,25,0.001067463706233988,6166435,0.0003079239536676332,0.0456,0.1755,0.0017,0.8846368246395222,2.793194660529087e-05
inno setup,38,0.0016225448334756618,556415,2.7784855703494177e-05,0.0029,0.0075,0.0009,0.04549078021085566,4.445155265723911e-05
xslt,119,0.005081127241673783,14493121,0.0007237210996797018,0.0093,0.0258,0.0016,0.22060262251036739,1.0653254582124995e-05
puppet,7,0.00029888983774551667,19526,9.750403789732975e-07,0.0044,0.0086,0.0005,0.023483669905879936,3.484619053914705e-05
renderscript,4,0.0001707941929974381,128091,6.396286857680459e-06,0.0144,0.0282,0.0004,0.05665017440599344,2.6341357593999297e-05
logos,10,0.0004269854824935952,15330,7.655110626682705e-07,0.004,0.0044,0.0021,0.01237879767291532,2.5484968165494835e-05
scheme,19,0.0008112724167378309,22214895,0.001109311668526683,0.1298,0.2491,0.0139,0.8045210102161887,2.079695615981366e-05
qmake,51,0.0021776259607173354,743027,3.710341737516093e-05,0.0055,0.0079,0.0022,0.032363379557625034,3.9213116547669445e-06
cuda,32,0.0013663535439795047,10555476,0.000527092866909943,0.0678,0.1003,0.0387,0.4618826858235253,9.799603227815812e-05
tex,90,0.003842869342442357,34403679,0.0017179645708407087,0.1372,0.2829,0.0085,0.9755821256690158,3.040918829233532e-06
prolog,15,0.0006404782237403928,683520,3.413190616797236e-05,0.0137,0.044,0.0008,0.172114847963421,2.570622674032451e-05
tcl,36,0.0015371477369769428,8496381,0.0004242709489983368,0.0285,0.0609,0.001,0.25351632426903076,1.3336991225460104e-06
digital command language,12,0.0005123825789923143,734659,3.668555719431239e-05,0.0089,0.0171,0.0002,0.05592603260097715,1.6818644528069395e-05
sqlpl,19,0.0008112724167378309,282968,1.413014575219277e-05,0.0395,0.1696,0.0001,0.7400384721077219,4.617431526009069e-06
actionscript,23,0.000982066609735269,7675697,0.0003832896912713409,0.1341,0.2279,0.0535,0.9935745436924568,7.954761033494062e-05
vim script,92,0.003928266438941076,25533213,0.0012750135040420938,0.242,0.3588,0.006,0.9975406650823986,1.0821093286616269e-05
postscript,16,0.0006831767719897524,1059828,5.292303056266065e-05,0.0233,0.0845,0.0006,0.33969226933788843,1.7257765260912387e-07
matlab,35,0.0014944491887275832,3644225,0.00018197616127542583,0.039,0.0925,0.0019,0.40940654732548454,1.9682397980140975e-05
rich text format,63,0.00269000853970965,8121364,0.00040554429132132,0.0287,0.076,0.0025,0.5096826401819264,1.972410616442131e-05
jsonnet,4,0.0001707941929974381,1051923,5.2528290513711357e-05,0.1419,0.2799,0.0025,0.5616666714552919,0.0008386987616003319
thrift,22,0.0009393680614859095,642597,3.208839610811759e-05,0.0073,0.0133,0.0012,0.04820674704293919,3.4619077113390246e-05
hack,53,0.0022630230572160547,956871,4.7781822312227705e-05,0.0066,0.0198,0.0006,0.11465640327789199,2.5196939277392094e-07
scala,95,0.0040563620836891546,132487240,0.006615815256515734,0.3809,0.4144,0.123,0.9999014021586841,1.549612940585225e-06
glsl,76,0.0032450896669513236,11995606,0.0005990064642146042,0.0151,0.0422,0.0028,0.30478143619661097,6.7448807014156016e-06
nsis,61,0.002604611443210931,3334566,0.00016651318735795722,0.0154,0.0946,0.0016,0.7416609544257189,4.1022916580888114e-05
augeas,2,8.539709649871905e-05,15598,7.788937740051979e-07,0.0035,0.0015,0.0035,0.004513762473526176,0.0024442430396550588
julia,4,0.0001707941929974381,9575099,0.00047813726096829055,0.1713,0.3418,0.0006,0.6840619792489477,5.7086588841197395e-06
llvm,16,0.0006831767719897524,1219158,6.087925219442422e-05,0.0268,0.0578,0.0044,0.19496992120946213,0.00011088678213129324
applescript,20,0.0008539709649871904,54169,2.704955561231412e-06,0.003,0.0097,0.0003,0.04389493937747991,5.579917060112818e-06
gdb,28,0.0011955593509820667,42891,2.141783104299073e-06,0.0003,0.0007,0.0,0.0036372436877091987,2.5293302630308505e-06
solidity,1,4.269854824935952e-05,15309,7.644624173769442e-07,0.0014863392519584356,0.0014863392519584356,0.0014863392519584356,0.0014863392519584356,0.0014863392519584356
visual basic,6,0.00025619128949615715,3291499,0.00016436261560740702,0.0141,0.0177,0.0103,0.04676721061896379,1.2324903099613198e-05
haskell,40,0.0017079419299743809,31184138,0.0015571952132272665,0.4944,0.4256,0.6384,0.9967391677538968,1.8720464789560315e-05
asp,34,0.0014517506404782238,1873581,9.355818540802876e-05,0.0132,0.0604,0.0002,0.3530855569145263,6.0300949981166e-06
coldfusion,5,0.0002134927412467976,19225,9.600097964642857e-07,0.0162,0.0129,0.0126,0.03173734010863851,0.0007127437221581066
vim snippet,15,0.0006404782237403928,1891826,9.446925842423116e-05,0.0884,0.2537,0.0056,0.9895987491517787,1.6539637255428223e-06
hcl,28,0.0011955593509820667,167000,8.339226840548022e-06,0.0078,0.0231,0.0006,0.12105517845699115,4.614725578713109e-06
plpgsql,64,0.0027327070879590095,16632799,0.0008305669691870677,0.0352,0.1171,0.0015,0.6553502607118568,2.7967821205236637e-06
ocaml,23,0.000982066609735269,102137369,0.005100279574776991,0.4391,0.4264,0.381,0.993410294003257,0.0005045389681048538
liquid,8,0.0003415883859948762,92426,4.6153376045777935e-06,0.0039,0.0067,0.0018,0.020149190620470842,0.00010854749495641818
standard ml,18,0.0007685738684884714,539680,2.6949185277287164e-05,0.0055,0.0112,0.0008,0.03554388089105965,5.518293062669993e-06
jupyter notebook,59,0.002519214346712212,201822900,0.0100781254174685,0.2923,0.3713,0.0771,0.997918793156542,7.381454679021624e-05
yasnippet,3,0.00012809564474807857,182294,9.102940225574018e-06,0.0427,0.0475,0.0337,0.09396557025937247,0.0002990327808689381
pawn,15,0.0006404782237403928,315205,1.573991614535892e-05,0.004,0.0095,0.0004,0.030891974044629573,4.8720382528821615e-05
rebol,6,0.00025619128949615715,1000594,4.996515174425933e-05,0.0289,0.066,0.0003,0.16335739721127363,7.2322993448120695e-06
v,2,8.539709649871905e-05,1237,6.177020120813115e-08,0.0,0.0,0.0,2.5317836517300733e-05,1.2635304118330137e-05
meson,14,0.0005977796754910333,187668,9.371293549173451e-06,0.008,0.0084,0.0054,0.024754726495841945,9.305579016294606e-05
ragel,13,0.0005550811272416738,489388,2.443782961103063e-05,0.0218,0.0365,0.006,0.1223403353508638,2.915042571519677e-05
elixir,18,0.0007685738684884714,8879784,0.0004434163656950232,0.2968,0.3833,0.08,0.9732725586603909,3.869305267768542e-05
erlang,24,0.0010247651579846286,34484415,0.001721996162566448,0.4918,0.4511,0.6409,0.9981877140691519,4.223012518301986e-05
vbscript,21,0.0008966695132365499,107405,5.363321310233894e-06,0.0046,0.0176,0.0002,0.08093770313056971,8.873165369293672e-06
hy,3,0.00012809564474807857,215983,1.0785216950311876e-05,0.1489,0.2558,0.0015,0.4442661301935185,0.000839955706397217
webidl,2,8.539709649871905e-05,562218,2.8074631352330705e-05,0.0288,0.0004,0.0288,0.029102787125917705,0.02857915352782349
mako,31,0.001323654995730145,971216,4.849814691718376e-05,0.0086,0.0419,0.0004,0.23413335684978556,7.692213066827737e-05
idl,7,0.00029888983774551667,13186,6.584493719728516e-07,0.0017,0.003,0.0004,0.008374173288290432,2.2476363672867638e-05
common lisp,18,0.0007685738684884714,36012662,0.0017983099254490049,0.3344,0.436,0.0276,0.9978322936924093,5.42968335917589e-06
cap'n proto,6,0.00025619128949615715,30495,1.5227827694761193e-06,0.0029,0.0022,0.0031,0.0062045268141353,0.00023313750596575685
qml,10,0.0004269854824935952,2927850,0.0001462036245814283,0.1998,0.2942,0.0344,0.9232765182856197,0.00010523689063256141
gap,19,0.0008112724167378309,673277,3.362041694325539e-05,0.0031,0.0041,0.0018,0.017018438080983276,8.826218501336307e-05
crystal,1,4.269854824935952e-05,8108773,0.0004049155535659348,0.9827523289361338,0.9827523289361338,0.9827523289361338,0.9827523289361338,0.9827523289361338
plsql,34,0.0014517506404782238,1077470,5.380399247835495e-05,0.0069,0.0301,0.0007,0.1766119850747509,3.980935102746194e-06
csound document,2,8.539709649871905e-05,33228,1.6592564638187406e-06,0.0017,0.002,0.0017,0.0031106867688116043,0.00030419026245161754
dart,10,0.0004269854824935952,1788113,8.929029894331045e-05,0.1581,0.293,0.0492,0.9730364583899992,0.01660248656030446
gnuplot,21,0.0008966695132365499,128547,6.419057441149261e-06,0.0014,0.0042,0.0002,0.019238350212036626,6.544031860487557e-06
visual basic .net,17,0.0007258753202391119,72149448,0.0036028180436666096,0.0266,0.0858,0.0018,0.35767612428681345,9.818634445281515e-05
1c enterprise,2,8.539709649871905e-05,298605,1.4910987010310432e-05,0.0008,0.001,0.0008,0.001466856216353732,9.614178515075412e-05
f#,24,0.0010247651579846286,39021549,0.0019485601723386815,0.1938,0.3449,0.0047,0.9983353570685427,2.7855553883714934e-06
ec,2,8.539709649871905e-05,10707,5.346592921062735e-07,0.0002,0.0,0.0002,0.00023217196015661717,0.0002211304491092365
newlisp,8,0.0003415883859948762,95729,4.780274528256417e-06,0.0023,0.0038,0.0006,0.010854666919850162,1.604665505080443e-05
hlsl,15,0.0006404782237403928,1382296,6.902562817234831e-05,0.0077,0.0086,0.0015,0.024064440594452965,4.524264761826171e-05
sourcepawn,3,0.00012809564474807857,18288,9.132202422751031e-07,0.0013,0.0018,0.0005,0.0033052261901543906,3.0748754126372986e-05
livescript,7,0.00029888983774551667,600802,3.000134230092774e-05,0.2392,0.3477,0.1383,0.9722129080973162,0.0001837637646127532
apex,1,4.269854824935952e-05,27195,1.3579956522676853e-06,0.0033619614124218633,0.0033619614124218633,0.0033619614124218633,0.0033619614124218633,0.0033619614124218633
saltstack,2,8.539709649871905e-05,71478,3.5692889587346798e-06,0.0012,0.0008,0.0012,0.0017282147292280593,0.0006505331693625764
scilab,9,0.0003842869342442357,1318942,6.586201513488677e-05,0.0183,0.042,0.0,0.12924317132876192,9.18587033451571e-06
zephir,2,8.539709649871905e-05,2667075,0.0001331816971602073,0.1832,0.1411,0.1832,0.2829830915792421,0.08347361079635789
volt,4,0.0001707941929974381,515199,2.57267145450509e-05,0.0225,0.0287,0.0147,0.06057610166343883,5.7599275296390815e-05
metal,5,0.0002134927412467976,238989,1.1934032834704978e-05,0.0079,0.013,0.0027,0.030821238237106384,0.0002574347602220954
vba,8,0.0003415883859948762,324440,1.6201070396092218e-05,0.009,0.0168,0.0014,0.048328236319215456,1.8707503275566902e-06
smali,1,4.269854824935952e-05,1993,9.952143169588149e-08,0.003167247514115944,0.003167247514115944,0.003167247514115944,0.003167247514115944,0.003167247514115944
mathematica,5,0.0002134927412467976,210085,1.049069742991935e-05,0.0122,0.0199,0.0053,0.04748567607809705,0.00023131677071730827
