id,language_dictionary,total_bytes_written,language_distribution,all_languages,main_language,languages_used,language_combinations,owner_type,open_issues,stars,watchers,forks,size,topics,description
28457823,"{'javascript': 992797, 'css': 71539, 'html': 17627, 'shell': 340}",1082303,"{'javascript': 0.9173004232640952, 'css': 0.06609886510524317, 'html': 0.01628656670082223, 'shell': 0.00031414492983942576}","['javascript', 'css', 'html', 'shell']",javascript,4,['css html shell'],Organization,289,308356,8383,23609,122706,"['careers', 'certification', 'community', 'curriculum', 'd3', 'education', 'learn-to-code', 'math', 'nodejs', 'nonprofits', 'programming', 'react', 'teachers']",the https and and www freecodecamp org open source codebase and curriculum learn to code for free together with millions of people
11730342,"{'javascript': 2832405, 'typescript': 20843, 'html': 17839, 'vue': 13258, 'css': 11301, 'shell': 3351}",2898997,"{'javascript': 0.977029296684336, 'typescript': 0.007189728033523319, 'html': 0.006153507575206184, 'vue': 0.004573305870961578, 'css': 0.0038982448067383306, 'shell': 0.001155917029234594}","['javascript', 'typescript', 'html', 'vue', 'css', 'shell']",javascript,6,['css html shell'],Organization,435,156213,6005,23497,27961,"['framework', 'frontend']",vue js is a incrementally adoptable javascript framework for building ui on the web
10270250,"{'javascript': 3768257, 'html': 112434, 'css': 56821, 'c++': 44278, 'typescript': 19904, 'coffeescript': 16554, 'c': 5225, 'shell': 4551, 'python': 259, 'makefile': 189}",4028472,"{'javascript': 0.935406029879319, 'html': 0.027909837774719545, 'css': 0.014104851665842532, 'c++': 0.010991264181555686, 'typescript': 0.0049408311637762405, 'coffeescript': 0.004109250355966232, 'c': 0.0012970178271066548, 'shell': 0.0011297087332368203, 'python': 6.429236693217677e-05, 'makefile': 4.6916051545101964e-05}","['javascript', 'html', 'css', 'c++', 'typescript', 'coffeescript', 'c', 'shell', 'python', 'makefile']",javascript,10,['makefile python shell'],Organization,574,142959,6641,27430,150292,"['declarative', 'frontend', 'library', 'react', 'ui']",a and flexible javascript library for building user interfaces
2126244,"{'javascript': 626446, 'css': 424038, 'html': 242563, 'shell': 1990, 'powershell': 1040}",1296077,"{'javascript': 0.48334011019407025, 'css': 0.3271703764513991, 'html': 0.18715168929006532, 'shell': 0.0015354026033947057, 'powershell': 0.0008024214610706}","['javascript', 'css', 'html', 'shell', 'powershell']",javascript,5,['css html shell'],Organization,433,138322,7190,67974,152366,"['bootstrap', 'css-framework', 'sass', 'scss']",the most popular and javascript framework for developing mobile first projects on the web
291137,"{'shell': 1005751, 'roff': 5000, 'perl': 3811, 'python': 2685, 'ruby': 1327, 'makefile': 59}",1018633,"{'shell': 0.9873536396327235, 'roff': 0.004908539189286033, 'perl': 0.0037412885700738147, 'python': 0.0026358855446466, 'ruby': 0.0013027263008365132, 'makefile': 5.792076243357519e-05}","['shell', 'roff', 'perl', 'python', 'ruby', 'makefile']",shell,6,['makefile python'],Organization,812,102566,2585,18584,6163,"['productivity', 'terminal', 'theme', 'zsh-configuration']",a delightful community driven with nearly contributors framework for managing your zsh configuration includes  and optional plugins etc over  themes to spice up your and an auto update tool so that makes it easy to keep up with the latest updates from the community
2325298,"{'c': 793771222, 'c++': 10515853, 'assembly': 9571217, 'objective-c': 2208039, 'makefile': 2031658, 'shell': 1854719, 'python': 1050935, 'perl': 1023726, 'roff': 130458, 'smpl': 124859, 'yacc': 121754, 'lex': 60666, 'awk': 38903, 'unrealscript': 17732, 'gherkin': 8338, 'm4': 3325, 'clojure': 1339, 'xs': 1239, 'perl 6': 1157, 'sed': 379}",822537518,"{'c': 0.9650273752011395, 'c++': 0.012784648444449436, 'assembly': 0.011636207213103683, 'objective-c': 0.0026844234477824756, 'makefile': 0.002469988244353858, 'shell': 0.002254874652416767, 'python': 0.0012776742422100679, 'perl': 0.0012445949000468573, 'roff': 0.00015860431548120582, 'smpl': 0.00015179733114617635, 'yacc': 0.00014802242734902215, 'lex': 7.375469042130671e-05, 'awk': 4.7296322840802014e-05, 'unrealscript': 2.155767926928775e-05, 'gherkin': 1.0136923626625382e-05, 'm4': 4.04236880049525e-06, 'clojure': 1.627889270334779e-06, 'xs': 1.5063142688161247e-06, 'perl 6': 1.4066227675708283e-06, 'sed': 4.6076925575569914e-07}","['c', 'c++', 'assembly', 'objective-c', 'makefile', 'shell', 'python', 'perl', 'roff', 'smpl', 'yacc', 'lex', 'awk', 'unrealscript', 'gherkin', 'm4', 'clojure', 'xs', 'perl 6', 'sed']",c,20,['makefile python shell'],User,323,85813,6852,30006,2780119,[],linux kernel source tree
29028775,"{'javascript': 8492472, 'java': 3420766, 'c++': 2109904, 'objective-c': 1713935, 'objective-c++': 1093550, 'python': 286582, 'ruby': 76962, 'shell': 63301, 'html': 25212, 'makefile': 16915, 'assembly': 14912, 'c': 14873, 'css': 1306, 'kotlin': 1002, 'cmake': 759, 'batchfile': 275, 'swift': 111}",17332837,"{'javascript': 0.489964337632668, 'java': 0.1973575358725176, 'c++': 0.12172871642420684, 'objective-c': 0.09888369688124339, 'objective-c++': 0.06309122967001882, 'python': 0.016534050369249997, 'ruby': 0.0044402425292524245, 'shell': 0.0036520853452899835, 'html': 0.00145458011288054, 'makefile': 0.0009758933289455154, 'assembly': 0.0008603323275929959, 'c': 0.0008580822631632664, 'css': 7.534831141607112e-05, 'kotlin': 5.7809347656128076e-05, 'cmake': 4.378971544012097e-05, 'batchfile': 1.5865838927580062e-05, 'swift': 6.404029530768679e-06}","['javascript', 'java', 'c++', 'objective-c', 'objective-c++', 'python', 'ruby', 'shell', 'html', 'makefile', 'assembly', 'c', 'css', 'kotlin', 'cmake', 'batchfile', 'swift']",javascript,17,['makefile python shell'],Organization,818,84457,3727,18858,460447,[],a framework for building native apps with react
9384267,"{'c++': 2668120, 'typescript': 967178, 'javascript': 521279, 'objective-c++': 335818, 'python': 112471, 'objective-c': 37487, 'html': 29065, 'shell': 22669, 'batchfile': 2734, 'css': 2471, 'c': 1255, 'powershell': 600, 'coffeescript': 21}",4701168,"{'c++': 0.5675440656449631, 'typescript': 0.20573142674331146, 'javascript': 0.11088286995912505, 'objective-c++': 0.0714328864656613, 'python': 0.02392405461791623, 'objective-c': 0.007973975828985477, 'html': 0.006182506134645688, 'shell': 0.004821993172760472, 'batchfile': 0.0005815576044080961, 'css': 0.0005256140601654738, 'c': 0.00026695493545433814, 'powershell': 0.00012762785758773138, 'coffeescript': 4.466975015570599e-06}","['c++', 'typescript', 'javascript', 'objective-c++', 'python', 'objective-c', 'html', 'shell', 'batchfile', 'css', 'c', 'powershell', 'coffeescript']",c++,13,['css html javascript shell'],Organization,1303,80345,2812,10716,70536,"['c-plus-plus', 'chrome', 'electron', 'nodejs', 'v8']",electron build cross platform desktop apps with and css
23096959,"{'go': 44651774, 'html': 2452123, 'assembly': 2315920, 'c': 100535, 'shell': 54662, 'perl': 31351, 'javascript': 19836, 'python': 15188, 'batchfile': 7503, 'c++': 1283, 'makefile': 748, 'awk': 450, 'fortran': 394}",49651767,"{'go': 0.8992987903129409, 'html': 0.04938641962127954, 'assembly': 0.04664325440824694, 'c': 0.002024802057900578, 'shell': 0.001100907446053229, 'perl': 0.0006314176089644504, 'javascript': 0.00039950239837385846, 'python': 0.00030589042279200254, 'batchfile': 0.00015111244681382638, 'c++': 2.5839966581652572e-05, 'makefile': 1.5064922060074921e-05, 'awk': 9.063121560205501e-06, 'fortran': 7.935266432713261e-06}","['go', 'html', 'assembly', 'c', 'shell', 'perl', 'javascript', 'python', 'batchfile', 'c++', 'makefile', 'awk', 'fortran']",go,13,['html python shell'],Organization,5315,68388,3426,9730,200107,"['language', 'programming-language']",the go programming language
27193779,"{'javascript': 8281251, 'c++': 4620591, 'python': 2146708, 'c': 459884, 'html': 163390, 'makefile': 47293, 'batchfile': 39456, 'dtrace': 37661, 'shell': 31145, 'emacs lisp': 14357, 'perl': 11658, 'roff': 10445, 'r': 6895}",15870734,"{'javascript': 0.5217938250366996, 'c++': 0.2911390865728075, 'python': 0.13526204900164038, 'c': 0.028976857655102783, 'html': 0.010295049995797296, 'makefile': 0.002979887382650355, 'batchfile': 0.0024860853946641662, 'dtrace': 0.0023729841354533446, 'shell': 0.0019624171131593536, 'emacs lisp': 0.0009046210465124045, 'perl': 0.000734559598818807, 'roff': 0.0006581296113966752, 'r': 0.00043444745529727863}","['javascript', 'c++', 'python', 'c', 'html', 'makefile', 'batchfile', 'dtrace', 'shell', 'emacs lisp', 'perl', 'roff', 'r']",javascript,13,['makefile python shell'],Organization,1161,67378,2931,16032,541497,"['js', 'linux', 'macos', 'mit', 'node', 'nodejs', 'runtime', 'windows']",node js javascript runtime sparkles turtle rocket sparkles
