id,topic,count,distribution
0,source,383,0.011439665471923537
1,project,2489,0.07434289127837515
2,engine,2491,0.0744026284348865
3,platform,251,0.007497013142174432
4,source framework,179,0.00534647550776583
5,source project,179,0.00534647550776583
6,management,313,0.009348864994026285
7,ecommerce,179,0.00534647550776583
8,source engine,179,0.00534647550776583
9,source ecommerce,179,0.00534647550776583
10,client,2429,0.07255077658303465
11,server,2428,0.07252090800477898
12,editor,2240,0.06690561529271206
13,plugin,2394,0.07150537634408602
14,system,2240,0.06690561529271206
15,command,2240,0.06690561529271206
16,implementation,2240,0.06690561529271206
17,android,2374,0.07090800477897252
18,javascript,299,0.008930704898446834
19,javascript library,154,0.0045997610513739545
20,library,454,0.013560334528076463
21,javascript parser,154,0.0045997610513739545
22,javascript plugin,154,0.0045997610513739545
23,image,154,0.0045997610513739545
24,parser,154,0.0045997610513739545
25,graph,154,0.0045997610513739545
26,generation,154,0.0045997610513739545
27,application,134,0.004002389486260454
28,framework,279,0.008333333333333333
29,application framework,134,0.004002389486260454
30,application server,134,0.004002389486260454
31,framework application,134,0.004002389486260454
32,spring,134,0.004002389486260454
33,client library,189,0.00564516129032258
34,standard library,189,0.00564516129032258
35,standard,189,0.00564516129032258
36,google,189,0.00564516129032258
37,level,189,0.00564516129032258
38,lightweight,189,0.00564516129032258
39,processing library,189,0.00564516129032258
40,modern library,189,0.00564516129032258
41,cross,72,0.002150537634408602
42,cross platform,72,0.002150537634408602
43,platform engine,72,0.002150537634408602
44,suite,72,0.002150537634408602
45,development,142,0.004241338112305855
46,powerful cross,72,0.002150537634408602
47,source cross,72,0.002150537634408602
48,toolkit,72,0.002150537634408602
49,apache,54,0.0016129032258064516
50,apache kafka,54,0.0016129032258064516
51,apache cassandra,54,0.0016129032258064516
52,cassandra,54,0.0016129032258064516
53,kafka,54,0.0016129032258064516
54,apache cordova,54,0.0016129032258064516
55,cordova,54,0.0016129032258064516
56,guacamole,54,0.0016129032258064516
57,hadoop,54,0.0016129032258064516
58,python,111,0.003315412186379928
59,python library,111,0.003315412186379928
60,python binding,111,0.003315412186379928
61,binding,111,0.003315412186379928
62,package,111,0.003315412186379928
63,python implementation,111,0.003315412186379928
64,python package,111,0.003315412186379928
65,python framework,111,0.003315412186379928
66,module,111,0.003315412186379928
67,javascript framework,145,0.004330943847072879
68,stack framework,145,0.004330943847072879
69,stack,145,0.004330943847072879
70,automation,145,0.004330943847072879
71,automation framework,145,0.004330943847072879
72,server framework,145,0.004330943847072879
73,browser,145,0.004330943847072879
74,front framework,145,0.004330943847072879
75,repository,70,0.002090800477897252
76,official,70,0.002090800477897252
77,official repository,70,0.002090800477897252
78,github,70,0.002090800477897252
79,software,70,0.002090800477897252
80,package repository,70,0.002090800477897252
81,development repository,70,0.002090800477897252
