id,topic,count,distribution
0,library,53,0.005995475113122172
1,server,573,0.06481900452488688
2,standard,34,0.0038461538461538464
3,plugin,606,0.06855203619909503
4,keyboard,34,0.0038461538461538464
5,security,34,0.0038461538461538464
6,animation,56,0.006334841628959276
7,process,34,0.0038461538461538464
8,super,34,0.0038461538461538464
9,level,34,0.0038461538461538464
10,project,563,0.06368778280542986
11,implementation,569,0.06436651583710407
12,sample,553,0.06255656108597285
13,command,539,0.06097285067873303
14,system,567,0.06414027149321266
15,module,539,0.06097285067873303
16,google,604,0.06832579185520361
17,interface,555,0.06278280542986425
18,jquery,22,0.0024886877828054297
19,jquery plugin,22,0.0024886877828054297
20,message,22,0.0024886877828054297
21,autocomplete,22,0.0024886877828054297
22,highlighter,22,0.0024886877828054297
23,plugin jquery,22,0.0024886877828054297
24,jquery plugins,22,0.0024886877828054297
25,experience,22,0.0024886877828054297
26,example,8,0.0009049773755656109
27,example iphone,8,0.0009049773755656109
28,iphone,36,0.004072398190045249
29,authlogic,8,0.0009049773755656109
30,authentication,8,0.0009049773755656109
31,source,42,0.004751131221719457
32,application,136,0.015384615384615385
33,framework,86,0.009728506787330317
34,numeric,24,0.0027149321266968325
35,template,8,0.0009049773755656109
36,basic,8,0.0009049773755656109
37,theme,8,0.0009049773755656109
38,asynchronous,8,0.0009049773755656109
39,script,8,0.0009049773755656109
40,generator,25,0.002828054298642534
41,engine,49,0.005542986425339367
42,notifier,25,0.002828054298642534
43,number,16,0.0018099547511312218
44,client,47,0.005316742081447964
45,twitter client,12,0.0013574660633484162
46,twitter,22,0.0024886877828054297
47,simple,63,0.007126696832579185
48,version,58,0.006561085972850679
49,torrent client,12,0.0013574660633484162
50,torrent,12,0.0013574660633484162
51,redis client,12,0.0013574660633484162
52,touch,12,0.0013574660633484162
53,github,19,0.002149321266968326
54,badge,12,0.0013574660633484162
55,android,16,0.0018099547511312218
56,yasnippets snippet,36,0.004072398190045249
57,nutrient,14,0.001583710407239819
58,numeric badge,16,0.0018099547511312218
59,number height,16,0.0018099547511312218
60,application framework,27,0.0030542986425339366
61,development,67,0.007579185520361991
62,navigate,27,0.0030542986425339366
63,reverse,27,0.0030542986425339366
64,delicious,27,0.0030542986425339366
65,generate,33,0.003733031674208145
66,helper,27,0.0030542986425339366
67,simple framework,27,0.0030542986425339366
68,simple library,41,0.004638009049773756
69,simple solution,41,0.004638009049773756
70,profile,41,0.004638009049773756
71,solution,41,0.004638009049773756
72,database,58,0.006561085972850679
73,piglatin,41,0.004638009049773756
74,source implementation,28,0.003167420814479638
75,source platform,28,0.003167420814479638
76,source spotify,28,0.003167420814479638
77,spotify,28,0.003167420814479638
78,device,4,0.00045248868778280545
79,android device,4,0.00045248868778280545
80,external,4,0.00045248868778280545
81,remote android,4,0.00045248868778280545
82,remote,4,0.00045248868778280545
83,management,10,0.0011312217194570137
84,textmate,10,0.0011312217194570137
85,bundle,10,0.0011312217194570137
86,textmate bundle,10,0.0011312217194570137
87,official textmate,10,0.0011312217194570137
88,peasy,10,0.0011312217194570137
89,macruby,10,0.0011312217194570137
90,project textmate,10,0.0011312217194570137
91,official,17,0.0019230769230769232
92,objective,36,0.004072398190045249
93,official repository,7,0.0007918552036199095
94,repository,7,0.0007918552036199095
95,repository github,7,0.0007918552036199095
96,twitterr,7,0.0007918552036199095
97,twitterr twitter,7,0.0007918552036199095
98,twitter project,7,0.0007918552036199095
99,twitterr official,7,0.0007918552036199095
100,realtime,4,0.00045248868778280545
101,lightweight,4,0.00045248868778280545
102,webapps,4,0.00045248868778280545
103,realtime webapps,4,0.00045248868778280545
104,realtime browser,4,0.00045248868778280545
105,multiple,4,0.00045248868778280545
106,browser,4,0.00045248868778280545
107,nodejs development,4,0.00045248868778280545
108,machine,3,0.00033936651583710406
109,learning,3,0.00033936651583710406
110,various,9,0.0010180995475113123
111,notification,11,0.0012443438914027148
112,notification lifecycle,22,0.0024886877828054297
113,notification service,22,0.0024886877828054297
114,notification system,13,0.0014705882352941176
115,application application,14,0.001583710407239819
116,individual,14,0.001583710407239819
117,expose,14,0.001583710407239819
118,cocoa,14,0.001583710407239819
119,django application,14,0.001583710407239819
120,workflow engine,14,0.001583710407239819
121,workflow,14,0.001583710407239819
122,iphone application,23,0.002601809954751131
123,iphone development,23,0.002601809954751131
