cluster,repo_id,subjects,topics,combinations
4,1018758,"['source', 'library']","['source', 'library']",['c c++ shell']
49,250217,"['iphone', 'wireframes']","['iphone', 'wireframes']",['c ruby']
2,150393,"['utility', 'command', 'service', 'transform', 'objective']","['utility', 'command', 'service', 'transform', 'objective']",['perl shell']
5,722962,['github'],['github'],['javascript perl']
32,3130318,"['detection', 'library', 'device', 'browser', 'central', 'database', 'browser', 'information']","['detection', 'library', 'device', 'browser', 'central', 'database', 'browser', 'information']",['javascript perl shell']
6,2095417,['library'],['library'],['c ruby']
12,4826,['hybrid'],['hybrid'],['ruby shell']
36,1496306,['quora'],['quora'],['python ruby shell']
25,3524087,['backends'],['backends'],['c javascript shell']
2,694779,"['cocosd', 'android', 'cocosd', 'iphone', 'googlecode', 'address', 'google', 'cocosd', 'android']","['cocosd', 'android', 'cocosd', 'iphone', 'googlecode', 'address', 'google', 'cocosd', 'android']",['c++ objective-c perl shell']
44,15402,"['preference', 'application']","['preference', 'application']",['c objective-c']
32,1478803,"['spritemap', 'generator']","['spritemap', 'generator']",['python shell']
2,2109948,"['certificate', 'authority', 'system']","['certificate', 'authority', 'system']",['python shell']
23,1117337,"['objective', 'addition']","['objective', 'addition']",['c ruby']
1,7036331,"['interception', 'framework']","['interception', 'framework']",['javascript perl shell']
2,218668,"['visit', 'github', 'lastfm', 'iphone']","['visit', 'github', 'lastfm', 'iphone']",['c c++ shell']
2,485581,"['cocoa', 'documentation', 'viewer']","['cocoa', 'documentation', 'viewer']",['javascript objective-c']
6,2739862,['library'],['library'],['c objective-c']
18,6083288,"['server', 'component', 'clutch', 'framework']","['server', 'component', 'clutch', 'framework']",['python shell']
2,3318854,"['wolfenstein', 'enemy', 'territory', 'source', 'release']","['wolfenstein', 'enemy', 'territory', 'source', 'release']",['perl python shell']
32,3551051,"['redmine', 'contact', 'jeanbaptiste', 'barth', 'gmail']","['redmine', 'contact', 'jeanbaptiste', 'barth', 'gmail']",['php python']
2,136564,"['modular', 'street', 'address', 'geocoder']","['modular', 'street', 'address', 'geocoder']",['ruby shell']
14,1566831,['reader'],['reader'],['c javascript']
2,4257391,"['different', 'github', 'timeline']","['different', 'github', 'timeline']",['javascript ruby']
9,697359,['cocoa'],['cocoa'],['c c++']
2,817685,"['library', 'adobe', 'flash', 'player', 'basic', 'chart', 'complex', 'interactive', 'toolkit', 'support', 'visual', 'interaction', 'technique']","['library', 'adobe', 'flash', 'player', 'basic', 'chart', 'complex', 'interactive', 'toolkit', 'support', 'visual', 'interaction', 'technique']",['python shell']
1,3482574,"['great', 'framework', 'shootout', 'techempower', 'benchmark']","['great', 'framework', 'shootout', 'techempower', 'benchmark']",['python ruby']
18,544263,"['project', 'showcase', 'different', 'transport', 'format', 'consume', 'service', 'application']","['project', 'showcase', 'different', 'transport', 'format', 'consume', 'service', 'application']",['c c++ shell']
32,5008346,"['memory', 'allocator']","['memory', 'allocator']",['c++ objective-c perl shell']
18,316401,"['comet', 'server', 'message', 'queue', 'application', 'interface']","['comet', 'server', 'message', 'queue', 'application', 'interface']",['python shell']
32,3531781,"['unofficial', 'mirror', 'library']","['unofficial', 'mirror', 'library']",['c c++']
5,1295235,"['github', 'github']","['github', 'github']",['c python shell']
2,2224553,"['weekly', 'screencast', 'series', 'titanium', 'development', 'topic']","['weekly', 'screencast', 'series', 'titanium', 'development', 'topic']",['java python']
2,1265268,"['study', 'material', 'certification', 'insider', 'knowledge', 'actual', 'content', 'brain', 'meaningful', 'preparation']","['study', 'material', 'certification', 'insider', 'knowledge', 'actual', 'content', 'brain', 'meaningful', 'preparation']",['javascript shell']
32,597082,"['debianization', 'patch']","['debianization', 'patch']",['javascript perl shell']
32,2458610,"['saurik', 'prebuilt', 'binary']","['saurik', 'prebuilt', 'binary']",['c shell']
46,2584736,"['zeromq', 'philosophy']","['zeromq', 'philosophy']",['python ruby']
32,4712495,"['saurik', 'substrate']","['saurik', 'substrate']",['c objective-c shell']
2,1022930,"['exists', 'compliance', 'cloudstack', 'development', 'cloudstack', 'apache']","['exists', 'compliance', 'cloudstack', 'development', 'cloudstack', 'apache']",['perl python shell']
8,1479651,"['source', 'engine']","['source', 'engine']",['c++ objective-c shell']
18,801991,"['server', 'aggregation', 'engine']","['server', 'aggregation', 'engine']",['ruby shell']
18,2341780,"['example', 'project']","['example', 'project']",['c objective-c shell']
20,4010984,['visualization'],['visualization'],['c c++']
5,702316,['github'],['github'],['javascript shell']
32,3041893,"['jailbroken', 'possible', 'thanks', 'spencer', 'nielsen', 'jailbreak', 'specfic', 'aorensoftware']","['jailbroken', 'possible', 'thanks', 'spencer', 'nielsen', 'jailbreak', 'specfic', 'aorensoftware']",['objective-c perl shell']
2,2027903,[],[],['javascript shell']
2,3318771,"['castle', 'wolfenstein', 'multiplayer', 'source', 'release']","['castle', 'wolfenstein', 'multiplayer', 'source', 'release']",['c++ objective-c perl shell']
15,3966091,['device'],['device'],['c python shell']
26,3032245,['visual'],['visual'],['coffeescript javascript']
32,749087,"['fingerprint', 'library', 'sample', 'client']","['fingerprint', 'library', 'sample', 'client']",['c python shell']
1,1482387,"['framework', 'boilerplate', 'framework', 'enterprise', 'grade', 'application', 'framework']","['framework', 'boilerplate', 'framework', 'enterprise', 'grade', 'application', 'framework']",['javascript perl shell']
