label_id,repository_count,cluster_topics,languages,combinations
40,1,['legacy version'],"['javascript', 'shell']",{'javascript shell': 1}
13,56,['quartz composer webgl compiler'],"['css', 'javascript', 'python', 'shell', 'perl', 'c', 'ruby', 'c++', 'coffeescript', 'objective-c', 'php']","{'css javascript': 6, 'ruby shell': 5, 'perl python shell': 4, 'c objective-c shell': 4, 'javascript ruby': 3, 'c++ objective-c shell': 3, 'python shell': 2, 'c ruby': 2, 'c++ shell': 2, 'javascript python shell': 2, 'javascript shell': 2, 'css python': 1, 'javascript perl shell': 1, 'c javascript shell': 1, 'css ruby': 1, 'c shell': 1, 'css shell': 1, 'coffeescript javascript': 1, 'javascript perl': 1, 'c objective-c': 1, 'c++ objective-c': 1, 'coffeescript ruby': 1, 'c++ python shell': 1, 'php shell': 1, 'c c++': 1, 'c perl': 1, 'javascript perl python': 1, 'javascript objective-c': 1, 'c javascript': 1, 'javascript objective-c shell': 1, 'javascript python': 1, 'python ruby': 1}"
21,54,['bootstrap heroku simple sinatra server'],"['javascript', 'shell', 'css', 'ruby', 'perl', 'python', 'assembly', 'c++', 'php', 'java', 'coffeescript', 'objective-c', 'c']","{'ruby shell': 6, 'css shell': 4, 'javascript ruby': 4, 'perl python shell': 3, 'css javascript': 3, 'javascript shell': 2, 'c++ python shell': 2, 'python shell': 2, 'c objective-c shell': 2, 'c++ objective-c shell': 2, 'perl ruby': 2, 'javascript perl shell': 2, 'c shell': 2, 'c c++': 2, 'assembly c++': 1, 'perl python': 1, 'javascript python shell': 1, 'php shell': 1, 'java shell': 1, 'coffeescript ruby': 1, 'perl shell': 1, 'c++ objective-c': 1, 'css javascript shell': 1, 'c++ python': 1, 'c python': 1, 'c ruby': 1, 'c objective-c': 1, 'objective-c python': 1, 'coffeescript javascript': 1, 'css ruby': 1}"
14,2,['fossasia drupal'],"['perl', 'python', 'shell']",{'perl python shell': 2}
20,6,['application rocketship'],"['javascript', 'python', 'shell', 'c++', 'objective-c', 'perl', 'ruby', 'css']","{'python ruby': 2, 'javascript python shell': 1, 'c++ objective-c perl': 1, 'ruby shell': 1, 'css javascript': 1}"
47,1,['microsoft kinect'],"['javascript', 'objective-c', 'shell']",{'javascript objective-c shell': 1}
5,3,['framwork mobile'],"['javascript', 'ruby', 'c', 'shell', 'css']","{'javascript ruby': 1, 'c javascript shell': 1, 'css ruby': 1}"
33,1,['chrome'],"['c++', 'python', 'shell']",{'c++ python shell': 1}
7,3,['interface github'],"['javascript', 'perl', 'python', 'ruby', 'shell', 'css']","{'javascript perl python': 1, 'ruby shell': 1, 'css javascript shell': 1}"
3,6,['digsby social network'],"['javascript', 'python', 'shell', 'java', 'c++', 'perl', 'objective-c']","{'java shell': 2, 'javascript python shell': 1, 'c++ perl': 1, 'c++ shell': 1, 'javascript objective-c shell': 1}"
11,1,['extension'],"['javascript', 'python']",{'javascript python': 1}
23,1,['csscomb'],"['css', 'javascript']",{'css javascript': 1}
10,3,['restful google engine'],"['c', 'javascript', 'ruby', 'shell', 'python']","{'c javascript': 1, 'ruby shell': 1, 'python ruby': 1}"
6,1,['delicious'],"['css', 'ruby']",{'css ruby': 1}
28,1,['scalable infrastructure'],"['python', 'shell']",{'python shell': 1}
34,1,['johnson embrace'],"['c++', 'javascript']",{'c++ javascript': 1}
4,4,['underscore objective'],"['ruby', 'shell', 'javascript', 'python', 'c', 'c++']","{'ruby shell': 1, 'javascript python': 1, 'c c++': 1, 'c ruby': 1}"
1,1,['webkit binding'],"['css', 'python']",{'css python': 1}
35,1,['linux'],"['c++', 'objective-c', 'shell']",{'c++ objective-c shell': 1}
39,1,['example'],"['ruby', 'shell']",{'ruby shell': 1}
31,1,['algorithm'],"['c', 'objective-c']",{'c objective-c': 1}
29,3,['client library'],"['javascript', 'perl', 'python', 'c', 'shell']","{'javascript perl python': 1, 'c perl': 1, 'python shell': 1}"
12,1,['office'],"['javascript', 'python']",{'javascript python': 1}
24,2,['brisk distribution'],"['c', 'shell', 'javascript', 'python']","{'c shell': 1, 'javascript python shell': 1}"
48,1,['eloquentjavascript'],"['css', 'shell']",{'css shell': 1}
46,5,['experimental framework multiplayer'],"['c++', 'python', 'shell', 'objective-c', 'php']","{'c++ python shell': 1, 'c++ objective-c': 1, 'php shell': 1, 'c++ objective-c shell': 1, 'objective-c python': 1}"
36,1,['signature'],"['c', 'ruby']",{'c ruby': 1}
22,3,['cocoa framework'],"['css', 'javascript', 'shell', 'c', 'c++', 'python']","{'css javascript shell': 1, 'c shell': 1, 'c++ python shell': 1}"
17,1,['front'],"['css', 'shell']",{'css shell': 1}
19,1,['official'],"['javascript', 'perl', 'shell']",{'javascript perl shell': 1}
27,1,['kademlia'],"['css', 'ruby']",{'css ruby': 1}
0,1,['zezeski'],"['perl', 'python', 'shell']",{'perl python shell': 1}
37,1,['optmize'],"['java', 'shell']",{'java shell': 1}
26,1,['image viewer'],"['c++', 'objective-c', 'perl']",{'c++ objective-c perl': 1}
16,1,['concurrency'],"['c++', 'ruby']",{'c++ ruby': 1}
45,2,['performance store'],"['coffeescript', 'ruby', 'php', 'shell']","{'coffeescript ruby': 1, 'php shell': 1}"
9,2,['django'],"['javascript', 'shell', 'python']","{'javascript shell': 1, 'python shell': 1}"
15,1,['jsbeautifier'],"['coffeescript', 'ruby']",{'coffeescript ruby': 1}
49,1,['display hierarchical'],"['coffeescript', 'javascript']",{'coffeescript javascript': 1}
44,1,['metacircular interpreter'],"['css', 'javascript']",{'css javascript': 1}
38,3,['benchmark implementation'],"['css', 'shell', 'perl', 'javascript']","{'css shell': 1, 'perl shell': 1, 'javascript perl shell': 1}"
32,1,['toolbox'],"['c++', 'objective-c']",{'c++ objective-c': 1}
25,1,['sample'],"['c++', 'perl']",{'c++ perl': 1}
2,1,['initial concept phpspec'],"['javascript', 'ruby']",{'javascript ruby': 1}
30,1,['engine'],"['c++', 'javascript', 'shell']",{'c++ javascript shell': 1}
41,1,['vimside'],"['java', 'shell']",{'java shell': 1}
18,1,['website'],"['css', 'ruby']",{'css ruby': 1}
42,1,['support'],"['css', 'ruby']",{'css ruby': 1}
43,1,['template durandal'],"['javascript', 'shell']",{'javascript shell': 1}
8,1,['mystory'],"['javascript', 'perl', 'shell']",{'javascript perl shell': 1}
