id,subjects,processed_text,language_combinations,description
3497763,"['realtime', 'dashboard']","['graphene', 'realtime', 'dashboard', 'graphing', 'toolkit', 'based', 'backbone']",['javascript ruby shell'],graphene is a realtime dashboard graphing toolkit based on d and backbone
14127490,"['realtime', 'server', 'metric']","['realtime', 'server', 'metric', 'browser']",['css ruby'],realtime server metrics in your browser
7116973,"['angular', 'application']","['implement', 'authentication', 'authorization', 'angular', 'application']",['css shell'],one way to implement authentication and authorization in angular applications
24094708,['dream'],"['dream', 'greenlight']",['c++ objective-c shell'],keen dreams on greenlight
16093309,"['simple', 'graph', 'drawing']","['simple', 'graph', 'drawing', 'plotting']",['c++ css'],a simple graph drawing and data plotting app for os x and ipad
3510440,['binding'],['binding'],['javascript python'],c and and qt bindings for node js
11221326,['apple'],"['apple', 'torrent', 'streaming', 'chrome']",['css shell'],apple tv for torrent streaming in js node and chrome
122471,"['simple', 'prebuilt', 'application']","['simple', 'prebuilt', 'application']",['css javascript'],simple prebuilt applications
19466626,"['source', 'event', 'analytics', 'platform']","['source', 'event', 'analytics', 'platform']",['css python shell'],an open source event analytics platform
6584052,"['remote', 'preview', 'large', 'number', 'mobile', 'device']","['remote', 'preview', 'allows', 'preview', 'large', 'number', 'mobile', 'device', 'simultaneously']",['css php'],remote preview allows you to preview any url on large number of mobile devices simultaneously
785859,"['acceptance', 'native']","['automated', 'acceptance', 'native']",['c ruby'],automated acceptance tests for native ios apps
4207315,"['seamless', 'custom', 'action', 'android', 'application']","['deprecated', 'easily', 'create', 'attractive', 'seamless', 'custom', 'action', 'style', 'android', 'application']",['java shell'],deprecated easily create a attractive and seamless custom action bar style for your android application
20093507,"['service', 'personal', 'phimpme']","['service', 'generate', 'personal', 'phimpme']",['css javascript'],web service to generate your personal phimpme app
7977879,['project'],"['start', 'project', 'sassaparilla']",['javascript ruby'],start your web projects fast with sassaparilla
5075922,"['documentation', 'developer', 'source', 'issue', 'tracker', 'submit', 'request', 'social', 'service']","['documentation', 'developer', 'source', 'branch', 'please', 'issue', 'tracker', 'submit', 'request', 'build', 'social', 'service', 'developer', 'advertiser']",['javascript ruby'],app net api documentation is on the web at https and and developers app net source for these docs is in the new docs branch here please use the issue tracker and submit pull requests help us build the real time social service where users and developers come not advertisers
13153048,"['source', 'writing']","['closed', 'source', 'writing']",['css javascript'],closed source code of writings io
2276340,"['issue', 'tracker']","['backed', 'issue', 'tracker']",['css ruby'],a git backed issue tracker
1745628,"['trojan', 'horse', 'author']","['trojan', 'horse', 'leaked', 'author', 'created', 'repository', 'access', 'study', 'possible']",['css javascript shell'],not my code zeus trojan horse leaked in i am not the author i have created this repository to make the access for study as easy as possible
14056672,"['parallax', 'uiscrollview', 'uitableviews', 'parallax', 'scrollview', 'tableview', 'header']","['parallax', 'uiscrollview', 'uitableviews', 'parallax', 'scrollview', 'tableview', 'header']",['c ruby shell'],add a parallax top view to any uiscrollview incl uitableviews parallax scrollview tableview header
6970537,"['learning', 'algorithm']","['implementation', 'learning', 'algorithm']",['c c++ shell'],implementation of some deep learning algorithms
1130505,"['facebook', 'realtime', 'apache', 'hadoop', 'append']","['facebook', 'realtime', 'distributed', 'based', 'apache', 'hadoop', 'append']",['perl python shell'],facebook s realtime distributed fs based on apache hadoop append
8825809,"['pythonjs', 'development']","['pythonjs', 'development', 'moved', 'rusthon']",['javascript perl'],pythonjs development has moved to rusthon
18707202,"['official', 'repository']","['official', 'repository', 'slide', 'gophercon']",['objective-c shell'],this is the official repository for slides and talks from gophercon
15179404,"['sample', 'autofac']","['sample', 'autofac']",['css javascript'],sample web app for asp net mvc ef code autofac and tdd
2846200,"['small', 'functional', 'language']","['small', 'functional', 'language', 'compiles']",['css python shell'],small functional language that compiles to javascript
7379987,"['jailbroken', 'iphones']","['record', 'display', 'jailbroken', 'iphones']",['c++ objective-c'],record the display even on non jailbroken iphones
16017872,"['beautiful', 'ember']","['beautiful', 'written', 'ember']",['css ruby shell'],beautiful team chat app written in elixir ember js
4334373,['visualizer'],"['visualizer', 'webgl']",['coffeescript css'],midi visualizer in webgl
7028490,"['original', 'emulator', 'animation', 'specification', 'animation']","['original', 'emulator', 'animation', 'specification', 'please', 'animation', 'instead']",['css python shell'],the original emulator of the web animations specification please use web animations js instead
981997,"['lightweight', 'framework', 'composable', 'design']","['lightweight', 'framework', 'featuring', 'purely', 'asynchronous', 'extremely', 'massive', 'composable', 'design']",['javascript shell'],a lightweight web framework for featuring a purely asynchronous extremely high massive high and a composable design
239681,['client'],"['client', 'cassandra', 'distributed', 'database']",['c perl shell'],a ruby client for the cassandra distributed database
9286207,"['refresh', 'button', 'progress', 'indicator']","['android', 'action', 'refresh', 'button', 'progress', 'indicator']",['groovy shell'],android an action bar item which acts both as a refresh button and as a progress indicator
1323471,"['audiolib', 'powerful', 'audio', 'library']","['audiolib', 'powerful', 'audio', 'library']",['coffeescript css'],audiolib js is a powerful audio tools library for javascript
17388691,"['sandbox', 'project']","['sandbox', 'project', 'different', 'blurring', 'technique']",['groovy shell'],sandbox project for different blurring techniques
6412660,"['unistroke', 'recognizer', 'dollar', 'gesture', 'recognizer']","['unistroke', 'recognizer', 'dollar', 'gesture', 'recognizer', 'uigesturerecognizer']",['c javascript'],a port of the unistroke recognizer aka dollar gesture recognizer to ios as a uigesturerecognizer
3446222,"['opengl', 'camera', 'filter']","['opengl', 'based', 'image', 'camera', 'filter']",['c ruby'],opengl es based image and real time camera filters for ios
2529750,"['blinkdb', 'approximate', 'query', 'large']","['blinkdb', 'second', 'approximate', 'query', 'large']",['css python shell'],blinkdb sub second approximate queries on very large data
21591788,"['framework', 'application']","['polyglot', 'distributed', 'framework', 'allows', 'programmer', 'create', 'application', 'multiple', 'programming', 'language']",['javascript ruby'],polyglot is a distributed web framework that allows programmers to create web applications in multiple programming languages
5927407,['tesseract'],['tesseract'],['c objective-c'],tesseract ocr for ios
2605322,"['android', 'framework', 'application']","['android', 'framework', 'application']",['c++ objective-c'],android framework for node js applications
