label_id,repository_count,cluster_topics,languages,combinations
0,16,"['image', 'filter', 'image filter', 'experimental', 'background', 'browser', 'camera', 'photo', 'indicator', 'perceivable quality']","['java', 'makefile', 'python', 'ruby', 'swift', 'html', 'javascript', 'shell', 'css', 'c', 'objective-c', 'c++']","{'html javascript': 3, 'ruby swift': 2, 'css html javascript': 2, 'objective-c': 2, 'java makefile': 1, 'python': 1, 'ruby shell': 1, 'c objective-c': 1, 'c c++ makefile': 1, 'shell': 1, 'java': 1}"
1,19,"['plugin', 'jquery', 'jquery plugin', 'plugin select', 'select', 'input', 'grunt', 'element', 'cycle', 'cycle plugin']","['css', 'html', 'javascript', 'coffeescript', 'php', 'shell', 'makefile', 'python']","{'css html javascript': 6, 'css javascript': 4, 'javascript': 4, 'javascript php': 2, 'coffeescript javascript': 1, 'html javascript shell': 1, 'makefile python shell': 1}"
2,55,"['android', 'library', 'android library', 'native', 'client', 'native android', 'android client', 'architecture', 'plugin', 'android studio']","['java', 'javascript', 'c', 'c++', 'makefile', 'shell', 'html', 'css', 'ruby', 'python']","{'java': 37, 'html java': 3, 'java makefile': 2, 'java python': 2, 'java javascript': 1, 'c c++ makefile shell': 1, 'css html javascript ruby': 1, 'shell': 1, 'c++ makefile': 1, 'makefile python shell': 1, 'css html javascript shell': 1, 'java shell': 1, 'javascript python': 1, 'javascript': 1, 'c c++ makefile': 1}"
3,419,"['example', 'support', 'objective', 'style', 'layout', 'implementation', 'controller', 'generate', 'solution', 'utility']","['go', 'html', 'javascript', 'makefile', 'shell', 'objective-c', 'ruby', 'c++', 'python', 'java', 'css', 'swift', 'coffeescript', 'c', 'php', 'c#', 'batchfile']","{'java': 42, 'css html javascript': 40, 'objective-c ruby': 33, 'javascript': 29, 'css html javascript shell': 18, 'objective-c': 17, 'ruby': 16, 'python': 16, 'html javascript': 12, 'python shell': 10, 'objective-c ruby shell': 9, 'swift': 9, 'shell': 8, 'css javascript': 8, 'makefile python shell': 8, 'go': 7, 'c c++ makefile shell': 7, 'css html javascript python': 6, 'ruby swift': 6, 'php': 6, 'css html javascript ruby': 5, 'ruby shell': 5, 'javascript shell': 5, 'c c++ python': 5, 'html': 4, 'javascript makefile': 4, 'javascript python shell': 4, 'css javascript shell': 4, 'makefile python': 4, 'css html javascript makefile': 4, 'c c++ objective-c': 4, 'c objective-c ruby': 3, 'c objective-c': 3, 'css javascript ruby': 2, 'html python': 2, 'makefile objective-c': 2, 'html ruby shell': 2, 'c makefile shell': 2, 'html java': 2, 'c c++ shell': 2, 'javascript ruby': 2, 'c c++': 2, 'c c++ makefile': 2, 'makefile': 2, 'javascript ruby shell': 2, 'c#': 2, 'java javascript': 2, 'html javascript ruby': 2, 'objective-c swift': 2, 'c++ python shell': 1, 'java makefile': 1, 'css html python': 1, 'html ruby': 1, 'css javascript makefile': 1, 'coffeescript javascript': 1, 'coffeescript': 1, 'html javascript makefile': 1, 'makefile shell': 1, 'css shell': 1, 'c shell': 1, 'coffeescript html': 1, 'c++': 1, 'objective-c shell': 1, 'c makefile': 1, 'c': 1, 'html javascript shell': 1, 'javascript python': 1, 'html javascript python': 1, 'css python shell': 1, 'c objective-c shell': 1, 'css': 1, 'css html ruby': 1, 'javascript php': 1, 'c python': 1, 'batchfile shell': 1}"
4,11,"['github', 'project', 'development', 'image', 'project location', 'question', 'location', 'legacy', 'environment', 'normal horizontal']","['ruby', 'shell', 'makefile', 'python', 'java', 'css', 'html', 'javascript']","{'java': 3, 'css html javascript': 2, 'ruby shell': 1, 'makefile python shell': 1, 'makefile shell': 1, 'python': 1, 'css html javascript shell': 1, 'css javascript ruby': 1}"
5,9,"['video', 'video player', 'player', 'connection', 'automatic', 'mediaplayer', 'apple', 'library android', 'android', 'display']","['c++', 'python', 'java', 'c', 'makefile', 'css', 'javascript', 'objective-c', 'ruby']","{'java': 4, 'c++ python': 1, 'c makefile': 1, 'css javascript makefile': 1, 'objective-c ruby': 1, 'objective-c': 1}"
6,22,"['application', 'linux', 'beautiful', 'install', 'loklak', 'starter', 'architecture', 'project', 'android application', 'mobile']","['c', 'c++', 'objective-c', 'javascript', 'python', 'shell', 'php', 'css', 'ruby', 'html', 'swift', 'java']","{'css html javascript': 4, 'css javascript': 3, 'c c++ objective-c': 2, 'php': 2, 'javascript ruby': 2, 'css html javascript shell': 2, 'java': 2, 'javascript python shell': 1, 'css html javascript ruby': 1, 'shell': 1, 'ruby swift': 1, 'html ruby shell': 1}"
7,1,"['objectivec addition', 'objectivec', 'style', 'yeoman', 'network daemon', 'network intent', 'network library', 'network request', 'network storage', 'network']","['objective-c', 'ruby']",{'objective-c ruby': 1}
8,11,"['responsive', 'jquery', 'responsive design', 'toolkit', 'design', 'throttle', 'system', 'template', 'jquery plugins', 'training']","['css', 'html', 'javascript', 'php']","{'css': 3, 'css html javascript': 3, 'javascript': 2, 'css javascript': 1, 'javascript php': 1, 'html': 1}"
9,18,"['source', 'source software', 'software', 'onestep', 'weather', 'science', 'release', 'clone', 'tldvision', 'version']","['c', 'c++', 'makefile', 'shell', 'css', 'html', 'javascript', 'ruby', 'swift', 'objective-c', 'python', 'java', 'c#']","{'c c++ makefile shell': 1, 'css html javascript shell': 1, 'ruby swift': 1, 'c c++ objective-c': 1, 'css html javascript': 1, 'makefile python shell': 1, 'javascript ruby shell': 1, 'css html javascript makefile': 1, 'c++': 1, 'html java': 1, 'swift': 1, 'css javascript': 1, 'css html javascript ruby': 1, 'c#': 1, 'shell': 1, 'c objective-c shell': 1, 'java shell': 1, 'java makefile': 1}"
10,21,"['animation', 'android', 'custom', 'smooth', 'android library', 'library', 'transforms', 'viewpager', 'amazing', 'engine']","['javascript', 'java', 'objective-c', 'ruby', 'swift', 'css', 'html', 'makefile']","{'java': 11, 'objective-c ruby': 4, 'objective-c swift': 2, 'javascript': 1, 'css html javascript': 1, 'css html javascript makefile': 1, 'ruby swift': 1}"
11,23,"['generator', 'facebook', 'version', 'twitter', 'official', 'twitter bootstrap', 'bootstrap', 'sprite', 'clone', 'control']","['css', 'javascript', 'html', 'ruby', 'objective-c', 'go', 'shell', 'php', 'c', 'c++', 'makefile', 'python']","{'javascript': 3, 'css javascript': 2, 'ruby': 2, 'css html javascript ruby': 1, 'objective-c': 1, 'go': 1, 'objective-c ruby shell': 1, 'php': 1, 'css html ruby': 1, 'c c++': 1, 'css javascript ruby': 1, 'c c++ makefile shell': 1, 'html javascript shell': 1, 'python': 1, 'css html makefile': 1, 'css html javascript': 1, 'objective-c ruby': 1, 'css html javascript python': 1, 'makefile python': 1}"
12,29,"['simple', 'simple server', 'server', 'library', 'simple responsive', 'example', 'responsive', 'cluster', 'cache', 'command']","['java', 'objective-c', 'ruby', 'css', 'html', 'javascript', 'shell', 'c', 'makefile', 'php']","{'objective-c ruby': 4, 'css html javascript': 3, 'objective-c': 3, 'javascript': 3, 'css html javascript ruby': 3, 'shell': 2, 'java': 1, 'objective-c ruby shell': 1, 'c objective-c ruby': 1, 'c makefile shell': 1, 'javascript shell': 1, 'css html': 1, 'php': 1, 'c makefile': 1, 'javascript php': 1, 'css php': 1, 'html javascript': 1}"
13,14,"['editor', 'medium', 'platform', 'wysiwyg editor', 'wysiwyg', 'source editor', 'chrome', 'world', 'markdown', 'component']","['css', 'html', 'javascript', 'shell', 'objective-c', 'java', 'ruby', 'python']","{'css html javascript shell': 3, 'objective-c': 3, 'css html javascript': 2, 'java': 1, 'css html javascript ruby': 1, 'html': 1, 'javascript ruby shell': 1, 'python': 1, 'ruby': 1}"
14,15,"['server', 'instance', 'angularjs', 'message', 'component', 'search', 'websocket', 'recursive server', 'support', 'directory']","['ruby', 'shell', 'javascript', 'makefile', 'css', 'python', 'c', 'c++', 'java', 'go']","{'ruby': 2, 'ruby shell': 1, 'javascript': 1, 'makefile': 1, 'css javascript': 1, 'python': 1, 'javascript shell': 1, 'c c++ makefile': 1, 'c c++ makefile shell': 1, 'java': 1, 'shell': 1, 'c++ makefile': 1, 'go': 1, 'java python': 1}"
15,26,"['framework', 'component', 'ionic', 'mobile', 'responsive framework', 'objective', 'common', 'framework mobile', 'development', 'interactive']","['css', 'ruby', 'html', 'javascript', 'c', 'c++', 'objective-c', 'java', 'shell', 'coffeescript', 'python', 'makefile']","{'css html javascript': 4, 'java': 3, 'css javascript': 2, 'css html javascript shell': 2, 'javascript shell': 2, 'css ruby': 1, 'c c++ objective-c': 1, 'java javascript': 1, 'css html javascript ruby': 1, 'objective-c ruby shell': 1, 'javascript': 1, 'html javascript': 1, 'objective-c ruby': 1, 'coffeescript html': 1, 'html javascript shell': 1, 'c++ python shell': 1, 'c c++ makefile shell': 1, 'shell': 1}"
16,33,"['library', 'experimental library', 'extensible', 'experimental', 'lightweight', 'support', 'bridge', 'viewer', 'adapter', 'amazon']","['css', 'html', 'javascript', 'python', 'shell', 'c', 'makefile', 'coffeescript', 'java', 'php', 'c++', 'ruby', 'objective-c', 'go', 'swift', 'c#']","{'javascript': 5, 'java': 4, 'python': 4, 'php': 2, 'objective-c ruby': 2, 'css html javascript python': 1, 'html javascript shell': 1, 'c makefile': 1, 'coffeescript html': 1, 'css html javascript': 1, 'makefile shell': 1, 'makefile': 1, 'shell': 1, 'c++ python shell': 1, 'html ruby': 1, 'javascript python': 1, 'css html javascript makefile': 1, 'go': 1, 'ruby swift': 1, 'c#': 1, 'objective-c': 1}"
17,15,"['client', 'development', 'development standard', 'standard', 'chrome', 'environment', 'loklak', 'module', 'iphone', 'hacker']","['css', 'ruby', 'html', 'javascript', 'shell', 'c', 'python', 'objective-c', 'go', 'makefile']","{'html javascript': 2, 'javascript': 2, 'css ruby': 1, 'css javascript shell': 1, 'css html javascript shell': 1, 'css html javascript': 1, 'c python': 1, 'objective-c': 1, 'go': 1, 'html javascript ruby': 1, 'makefile': 1, 'objective-c ruby shell': 1, 'makefile python shell': 1}"
18,12,"['angular', 'chart', 'progress', 'library', 'integration', 'interactive', 'angularjs', 'progress chart', 'general', 'request']","['html', 'javascript', 'objective-c', 'ruby', 'css', 'makefile', 'shell']","{'html javascript': 3, 'javascript': 3, 'css html javascript': 2, 'objective-c ruby': 1, 'objective-c': 1, 'css html javascript makefile': 1, 'javascript ruby shell': 1}"
19,10,"['level', 'interface', 'visual', 'client', 'redis library', 'operation interface', 'redis', 'track', 'sheet', 'operation']","['go', 'html', 'javascript', 'java', 'shell', 'css', 'objective-c', 'swift']","{'go': 2, 'html javascript': 2, 'css html javascript': 2, 'html java': 1, 'html javascript shell': 1, 'javascript': 1, 'objective-c swift': 1}"
20,6,"['visualization', 'toolkit', 'graph', 'source', 'expression', 'regular expression', 'regular', 'library', 'yeoman', 'network intent']","['javascript', 'python', 'shell', 'css', 'html', 'ruby']","{'css html javascript shell': 2, 'javascript python shell': 1, 'css html javascript ruby': 1, 'css javascript': 1, 'html javascript': 1}"
21,7,"['native', 'effect', 'bootstrap', 'native effect', 'native markdown', 'tmall', 'native tmall', 'markdown', 'spotify', 'amazing']","['javascript', 'c', 'c++', 'python', 'objective-c', 'ruby', 'swift', 'java']","{'objective-c ruby': 3, 'javascript': 1, 'c c++ python': 1, 'ruby swift': 1, 'java javascript': 1}"
22,15,"['template', 'xcode', 'xcode plugin', 'plugin', 'project', 'project template', 'browser', 'style', 'framework', 'syntax']","['objective-c', 'python', 'shell', 'css', 'html', 'javascript', 'swift', 'ruby', 'makefile', 'java']","{'css html javascript': 4, 'objective-c': 2, 'python shell': 1, 'objective-c shell': 1, 'objective-c swift': 1, 'css html ruby': 1, 'makefile objective-c': 1, 'html javascript': 1, 'javascript': 1, 'objective-c ruby shell': 1, 'html java': 1}"
23,10,"['learning', 'machine learning', 'machine', 'algorithm', 'generate', 'apple', 'parallel machine', 'natural', 'natural language', 'policy']","['c', 'c++', 'makefile', 'shell', 'python', 'objective-c', 'swift', 'html', 'javascript']","{'python': 4, 'c c++ makefile shell': 1, 'makefile python': 1, 'objective-c swift': 1, 'html python': 1, 'javascript': 1, 'javascript python': 1}"
24,10,"['pattern', 'beautiful', 'version', 'pattern detection', 'pattern beautiful', 'quickreturn pattern', 'quickreturn', 'detection', 'showcase', 'modular pattern']","['php', 'java', 'html', 'javascript', 'objective-c', 'swift', 'shell', 'c', 'c++', 'python']","{'java': 3, 'javascript shell': 2, 'php': 1, 'html java': 1, 'javascript': 1, 'objective-c swift': 1, 'c c++ python': 1}"
25,12,"['effect', 'button', 'parallax effect', 'parallax', 'expandable', 'transition', 'jquery', 'gooey', 'android', 'query library']","['swift', 'css', 'javascript', 'objective-c', 'ruby', 'php', 'java']","{'java': 5, 'objective-c ruby': 3, 'css javascript': 2, 'swift': 1, 'javascript php': 1}"
26,13,"['theme', 'wordpress', 'wordpress plugin', 'color', 'bootstrap', 'color theme', 'plugin', 'bootstrap theme', 'mobile', 'prototype theme']","['css', 'html', 'ruby', 'javascript', 'shell', 'php', 'objective-c']","{'php': 3, 'css': 2, 'javascript php': 2, 'css html ruby': 1, 'javascript ruby shell': 1, 'css javascript': 1, 'objective-c ruby': 1, 'shell': 1, 'css html javascript': 1}"
27,8,"['store', 'driver', 'value store', 'value', 'kernel', 'drive', 'external', 'client', 'redux store', 'progress button']","['css', 'javascript', 'shell', 'html', 'go', 'makefile', 'objective-c', 'ruby', 'c', 'c++']","{'css javascript shell': 1, 'css html javascript shell': 1, 'go': 1, 'javascript makefile': 1, 'objective-c ruby': 1, 'makefile shell': 1, 'c c++ makefile shell': 1, 'c c++': 1}"
28,8,"['material', 'material design', 'design', 'android', 'reading material', 'reading', 'eclipse', 'resource', 'android studio', 'studio']","['java', 'c', 'c++', 'python', 'makefile']","{'java': 5, 'c c++ python': 1, 'java makefile': 1, 'python': 1}"
