cluster_topic,cluster_topic_id,topic,topic_id,language,language_id
filter camera videorecorder,32,0,0,['c++ makefile'],0
library medium editor,31,0,0,['css html'],0
,4,0,0,['javascript makefile'],0
embeddable markdown editor markdown parser,4,0,0,['css html'],0
source bootstrap framework repetitive developer elegant,32,0,0,['css javascript'],0
source release,29,0,0,['python shell'],0
large number,4,0,0,['python shell'],0
foreign linux linux application,16,0,0,['c++ objective-c'],0
desktop,15,0,0,['css javascript'],0
hybrid framework mobile objective,20,0,0,['c c++'],0
quartz composer framework interactive design,20,0,0,['c javascript'],0
lightweight voxel library,31,0,0,['javascript python'],0
store,35,0,0,['css javascript'],0
warning warning warning warning social share,4,0,0,['css html'],0
mysql community release,4,0,0,['perl shell'],0
analytics socket,0,0,0,['html ruby'],0
chrome editor developer chrome platform chrome active development,19,0,0,['python shell'],0
responsive framework,9,0,0,['javascript ruby'],0
multi fixing android android appapk,16,0,0,['c makefile'],0
personal social integration,42,0,0,['html python'],0
undead contains,42,0,0,['c makefile'],0
powerful mobile zepto,42,0,0,['javascript ruby'],0
message queue system inactive,4,0,0,['ruby shell'],0
source,7,0,0,['css html'],0
quick introduction,32,0,0,['html python'],0
webrtc electron alpha,4,0,0,['html javascript'],0
speech recognition library,31,0,0,['perl shell'],0
jquery plugins development,48,0,0,['coffeescript html'],0
graph visualization library worker,31,0,0,['python shell'],0
objective,30,0,0,['ruby shell'],0
powerful content manager,42,0,0,['ruby shell'],0
unavailable,45,0,0,['objective-c python'],0
inspector debug,8,0,0,['javascript shell'],0
starter template webpack focus,8,0,0,['css html'],0
checker,42,0,0,['python shell'],0
attractive quality,32,0,0,['javascript makefile'],0
objectivec addition human style,4,0,0,['makefile ruby'],0
demonstrates session,8,0,0,['css javascript'],0
pretty shadow,32,0,0,['css html'],0
digital,23,0,0,['html javascript'],0
detect anomaly stack,8,0,0,['html javascript'],0
source library tldvision,29,0,0,['c++ objective-c'],0
speaker material,8,0,0,['c python'],0
