language,count,count_distribution,bytes,bytes_distribution,percentage_avg,percentage_std,percentage_median,percentage_max,percentage_min
javascript,377,0.1481335952848723,106659276,0.18956461601461597,0.6224,0.3778,0.7984,1.0,9.84647499272284e-05
css,241,0.09469548133595285,18355849,0.032623692920128886,0.1906,0.2664,0.0638,1.0,1.849796522382538e-05
java,198,0.07779960707269155,100700494,0.17897412389703582,0.8471,0.3176,1.0,1.0,0.00019344313277107266
ruby,206,0.08094302554027505,13676367,0.024306889715152064,0.2445,0.3686,0.0324,1.0,0.0002785980592682704
go,35,0.0137524557956778,2887166,0.005131335357652857,0.7289,0.39,0.9825,1.0,0.015853579565189235
html,261,0.10255402750491159,15830684,0.028135738833523723,0.1632,0.2293,0.0554,1.0,2.2912886637061307e-05
coffeescript,34,0.013359528487229863,1374608,0.0024430790031859887,0.3208,0.3471,0.1906,1.0,3.9808192347473035e-05
makefile,113,0.044400785854616896,1288537,0.0022901057534426283,0.0324,0.1079,0.007,1.0,7.498150265765992e-06
glsl,5,0.0019646365422396855,247818,0.0004404448049273286,0.0451,0.0857,0.0107,0.19813509789317849,0.0018534938018117076
c++,72,0.028290766208251474,101044130,0.17958486521116962,0.369,0.3806,0.189,1.0,0.0007959773189258586
shell,181,0.07111984282907662,2233777,0.003970072694542581,0.1187,0.2735,0.0102,1.0,2.5787194848494858e-05
c,104,0.04086444007858546,50373863,0.08952903446267413,0.307,0.3554,0.1363,1.0,0.0010856917389414002
groff,8,0.003143418467583497,206099,0.00036629798420904653,0.0075,0.0105,0.0039,0.03160747573550149,0.0002267746678132542
objective-c,189,0.07426326129666012,23933868,0.042537458225054,0.7347,0.3807,0.9676,1.0,0.00018344599135483401
m4,7,0.00275049115913556,184916,0.0003286496200757891,0.005,0.0061,0.0012,0.013826230539524196,0.0005271400408659477
perl,18,0.007072691552062868,575307,0.0010224881945150339,0.0511,0.1016,0.0045,0.37992564411435903,1.3172229458251784e-05
python,138,0.05422396856581532,28636725,0.050895805616955,0.5011,0.4279,0.5289,1.0,5.379959650302623e-06
yacc,3,0.0011787819253438114,56152,9.979846777182996e-05,0.0062,0.0081,0.0018,0.015552237294998987,0.0010821822246308498
digital command language,1,0.0003929273084479371,6599,1.1728346075407926e-05,0.0002493216667366888,0.0002493216667366888,0.0002493216667366888,0.0002493216667366888,0.0002493216667366888
emacs lisp,4,0.0015717092337917485,21710,3.8584996711184434e-05,0.0311,0.0413,0.0163,0.09173046003215665,0.00014202154042479363
