antecedents,consequents,antecedents_support,consequents_suport,support,confidience,lift,leaverage,conviction
javascript_python_shell,5,0.0018115942028985507,0.009057971014492754,0.0018115942028985507,1.0,110.39999999999999,0.0017951848351186726,inf
css_javascript_makefile,6,0.0018115942028985507,0.0036231884057971015,0.0018115942028985507,1.0,276.0,0.0018050304557865994,inf
css_html_makefile,7,0.0018115942028985507,0.010869565217391304,0.0018115942028985507,1.0,92.0,0.001791902961562697,inf
css_php,8,0.0018115942028985507,0.02717391304347826,0.0018115942028985507,1.0,36.800000000000004,0.0017623660995589163,inf
css_java,10,0.0018115942028985507,0.018115942028985508,0.0018115942028985507,1.0,55.199999999999996,0.0017787754673387944,inf
13,java_shell,0.0018115942028985507,0.03260869565217391,0.0018115942028985507,1.0,30.666666666666668,0.0017525204788909894,inf
css_ruby,17,0.0018115942028985507,0.021739130434782608,0.0018115942028985507,1.0,46.0,0.001772211720226843,inf
29,css_html_javascript_python_shell,0.0018115942028985507,0.02717391304347826,0.0018115942028985507,1.0,36.800000000000004,0.0017623660995589163,inf
java_python,20,0.0018115942028985507,0.014492753623188406,0.0018115942028985507,1.0,69.0,0.0017853392144507457,inf
html_shell,23,0.0018115942028985507,0.0036231884057971015,0.0018115942028985507,1.0,276.0,0.0018050304557865994,inf
css_html_php,25,0.0018115942028985507,0.019927536231884056,0.0018115942028985507,1.0,50.18181818181819,0.0017754935937828189,inf
27,objective-c_ruby,0.0036231884057971015,0.08152173913043478,0.0036231884057971015,1.0,12.266666666666666,0.0033278197857592945,inf
28,javascript_python,0.0018115942028985507,0.010869565217391304,0.0018115942028985507,1.0,92.0,0.001791902961562697,inf
31,css_html_javascript,0.0036231884057971015,0.18115942028985507,0.0036231884057971015,1.0,5.52,0.0029668136946019745,inf
53,go_shell,0.0018115942028985507,0.009057971014492754,0.0018115942028985507,1.0,110.39999999999999,0.0017951848351186726,inf
34,python_shell,0.0018115942028985507,0.030797101449275364,0.0018115942028985507,1.0,32.470588235294116,0.001755802352446965,inf
c++_html,33,0.0018115942028985507,0.019927536231884056,0.0018115942028985507,1.0,50.18181818181819,0.0017754935937828189,inf
