cluster_topic,cluster_topic_id,topic,topic_id,language,language_id
presentation framework transforms modern browser prezi,29,0,0,['css html'],0
material design component,14,0,0,['css javascript'],0
firework interactive online platform visualizes algorithm,29,0,0,['html java'],0
learning chinese translation,29,0,0,['makefile python shell'],0
framework,12,0,0,['css html shell'],0
extensible desktop modern,29,0,0,['html python shell'],0
application,28,0,0,['css html'],0
modify,21,0,0,['html javascript'],0
linux kernel,10,0,0,['dockerfile shell'],0
spring example spring,47,0,0,['css dockerfile html'],0
responsive module project,10,0,0,['css javascript'],0
beautiful replacement,29,0,0,['css html javascript'],0
progress,17,0,0,['css html'],0
terminal emulator century,29,0,0,['dockerfile html'],0
image gallery,6,0,0,['css html'],0
google android,4,0,0,['java shell'],0
starter multi device website,29,0,0,['css javascript'],0
docker image,6,0,0,['makefile shell'],0
science notebook learning scikit hadoop various command,10,0,0,['dockerfile makefile'],0
click delay touch,17,0,0,['javascript makefile'],0
mobile component,20,0,0,['css html javascript shell'],0
animation,37,0,0,['css html'],0
pleasant android application development,21,0,0,['html java'],0
frontend knowledge structure,29,0,0,['css html makefile'],0
motion graphic toolbelt,29,0,0,['css html'],0
mybatis,5,0,0,['css html javascript shell'],0
project status native angularjs angular directive footprint party dependency bootstrap readme,29,0,0,['css html'],0
design framework functional framework,12,0,0,['html javascript'],0
mobile component,20,0,0,['html javascript'],0
ultimate distribution,17,0,0,['batchfile shell'],0
precision color multiple application light,21,0,0,['html python shell'],0
admin management system template,26,0,0,['css html javascript'],0
powerful spider crawler system,10,0,0,['dockerfile html javascript'],0
bundle optimizer,17,0,0,['css html shell'],0
simplify animation,37,0,0,['objective-c ruby'],0
application,28,0,0,['html javascript makefile'],0
modular front framework,3,0,0,['css html'],0
smooth asynchronous interface,17,0,0,['ruby shell'],0
zhongyi,24,0,0,['css html shell'],0
modern chart dependency,29,0,0,['css makefile'],0
source,33,0,0,['makefile python'],0
dependency management,26,0,0,['css makefile shell'],0
neural network,8,0,0,['makefile python shell'],0
cross browser storage,29,0,0,['makefile shell'],0
official,10,0,0,['css html javascript shell'],0
performance friendly loader image responsive normal iframes visibility change,17,0,0,['css html'],0
graphical editor,45,0,0,['html makefile shell'],0
spring spring shiro spring cloud spring security spring security oauth spring,47,0,0,['css html javascript'],0
github,22,0,0,['python shell'],0
mongo,43,0,0,['dockerfile html javascript'],0
module loader,10,0,0,['html shell'],0
fljsbook,35,0,0,['css html'],0
design block clean modern website,29,0,0,['css javascript'],0
perceptual encoder,29,0,0,['makefile python shell'],0
style paint,29,0,0,['css html python'],0
spring spring openwrite,47,0,0,['css html'],0
source world,24,0,0,['html python'],0
twitter bootstrap,34,0,0,['css html'],0
simple responsive chart,15,0,0,['css html'],0
library magical scroll interaction,29,0,0,['css html'],0
performance inter thread,17,0,0,['html shell'],0
