antecedents,consequents,confidience,cluster_topics
6,css_html_shell,1.0,['framework server']
10,css_html_javascript_shell,1.0,['mybatis']
28,html_shell,1.0,['future']
14,makefile_python_shell,1.0,['competition']
19,css_html,0.6666666666666666,['animation']
36,java_shell,1.0,['oracle']
24,css_html_javascript_shell,1.0,['official']
30,dockerfile_html_javascript,1.0,['mongo']
33,makefile_shell,1.0,['geospatial']
39,ruby_shell,1.0,['unofficial']
40,makefile_python_shell,1.0,['certificate']
43,css_html,1.0,['tetri']
46,html_python,1.0,['pixelbeat']
48,css_javascript,1.0,['flexbox']
49,css_html,1.0,['camera']
26,html_javascript,1.0,['integration']
41,css_html_javascript,1.0,['pwaapp']
