id,size,forks,open_issues,subscribers_count,stargazers_count,language_dictionary,owner_type,url,pushed_at,topics,description
425,1174,422,29,70,1968,{'javascript': 9251},User,https://api.github.com/repos/defunkt/facebox,2013-07-15T19:55:04Z,[],facebook style built in jquery
291056,43545,443,15,116,1887,"{'javascript': 221588, 'ruby': 1226790, 'shell': 1199}",Organization,https://api.github.com/repos/redbooth/teambox,2013-05-06T10:07:34Z,[],this is the legacy version of teambox the award winning collaboration inspired by yammer and twitter
4223858,249,250,17,89,1861,{'objective-c': 114831},User,https://api.github.com/repos/mpospese/MPFoldTransition,2013-11-13T22:35:25Z,[],easily add custom folding and page flipping transitions to uiviews and uiviewcontrollers
2557230,20021,130,5,59,1838,{'javascript': 12505},Organization,https://api.github.com/repos/tower/tower,2013-12-14T05:00:37Z,[],unmaintained small components for building manipulating and automating a distributed infrastructure
1714530,1062,732,49,192,1812,{'java': 69714},User,https://api.github.com/repos/pakerfeldt/android-viewflow,2013-09-10T07:13:11Z,[],a horizontal view scroller library for android
761438,26224,413,172,104,1573,"{'c': 198890, 'css': 8946, 'javascript': 69207, 'objective-c': 433841}",User,https://api.github.com/repos/Simbul/baker,2013-11-18T17:52:48Z,[],the html ebook framework to publish interactive books magazines on ipad iphone using simply open web standards
3432848,1236,524,11,103,1561,"{'javascript': 38705, 'php': 166382, 'shell': 317}",User,https://api.github.com/repos/ccoenraets/backbone-directory,2013-04-17T14:56:37Z,[],sample application built with backbone js and  different ui toolkits twitter jquery and custom iphone skins
6270574,159,365,5,124,1523,"{'css': 14222, 'javascript': 13715}",User,https://api.github.com/repos/soulwire/Makisu,2013-05-29T21:21:28Z,[],css d dropdown concept
5153205,3737,289,31,152,1485,{'javascript': 6179},Organization,https://api.github.com/repos/webRTC-io/webRTC.io,2013-05-17T01:50:26Z,[],an abstraction layer for webrtc aim is to simplify the html web standard webrtc in a similar manner to socket io w and websockets highly experimental technology
3806475,6434,284,16,53,1422,"{'javascript': 4880, 'ruby': 27162}",User,https://api.github.com/repos/natew/obtvse,2013-03-29T15:27:47Z,[],deprecated see natew and obtvse
1802145,603,201,23,50,1364,"{'objective-c': 50692, 'ruby': 704}",User,https://api.github.com/repos/samvermette/SVSegmentedControl,2013-06-13T08:47:56Z,[],a uiswitch like segmented control for your ios app
1602291,965024,377,0,100,1346,"{'ruby': 168761, 'shell': 6040}",Organization,https://api.github.com/repos/cloudfoundry-attic/vcap,2013-08-28T00:38:39Z,[],cloud foundry the open platform as a service project
10632915,1327,205,22,75,1313,"{'objective-c': 44029, 'ruby': 605}",User,https://api.github.com/repos/rnystrom/RNGridMenu,2013-08-20T17:47:13Z,[],a grid menu with elastic depth of and realistic animation
2022916,3819,303,35,127,1312,"{'groovy': 5016, 'java': 286464}",User,https://api.github.com/repos/mttkay/ignition,2013-01-31T16:08:04Z,[],kick starts android application development
6778210,674,368,39,53,1302,"{'css': 6011, 'javascript': 115299}",User,https://api.github.com/repos/louisremi/background-size-polyfill,2013-12-09T09:01:27Z,[],adds support for background size cover and contain to ie
2238384,152,243,11,72,1263,{'objective-c': 9913},User,https://api.github.com/repos/gekitz/UIDevice-with-UniqueIdentifier-for-iOS-5,2013-07-18T13:55:27Z,[],brings back the unique identifier support under ios it uses the device s mac address in combination with the bundle identifier to generate a new hashed unique identifier
6422710,333,236,2,157,1202,{'python': 4878},User,https://api.github.com/repos/mothran/mongol,2013-05-09T21:24:33Z,[],a simple python tool to pinpoint the ip addresses of machines working for the great firewall of china
1040700,2016,507,11,170,1188,"{'css': 1179, 'javascript': 1256568, 'python': 300682}",User,https://api.github.com/repos/ptwobrussell/Mining-the-Social-Web,2013-10-18T13:41:23Z,[],the official online compendium for mining the social web o 
3685302,17095,380,3,210,1158,"{'css': 57075, 'javascript': 1980504, 'xslt': 37119}",Organization,https://api.github.com/repos/AlloyTeam/JX,2013-10-20T16:11:25Z,[],jx javascript extension tools alloyteam web   web app
365777,3006,849,1,114,1158,"{'java': 265607, 'javascript': 209086}",User,https://api.github.com/repos/commonsguy/cw-android,2013-06-27T22:18:49Z,[],source code to busy coder s guide to android
14817503,49000,0,0,7,1147,"{'css': 571211, 'erlang': 4816, 'javascript': 2084885, 'perl': 274788, 'php': 7554473, 'python': 5591, 'racket': 4313, 'shell': 43647, 'xslt': 5014}",Organization,https://api.github.com/repos/fossasia/fossasia11-drupal,2013-11-30T08:18:15Z,[],fossasia  drupal site
14813775,61656,0,0,7,1142,"{'css': 572730, 'erlang': 4816, 'javascript': 2085135, 'perl': 274788, 'php': 7599445, 'python': 5591, 'racket': 4313, 'shell': 43647, 'xslt': 5014}",Organization,https://api.github.com/repos/fossasia/fossasia10-drupal,2013-11-30T08:20:55Z,[],fossasia  drupal site
1471011,4739,177,5,49,1107,{'objective-c': 108040},Organization,https://api.github.com/repos/100grams/HGPageScrollView,2013-06-07T08:50:19Z,[],uiscrollview for iphone with horizontal paging like mobile safari tabs
3349413,148,75,3,20,1098,{'javascript': 17126},User,https://api.github.com/repos/jairajs89/Touchy.js,2013-11-20T19:18:01Z,[],a simple light weight javascript library for dealing with touch events
9473425,331,90,8,46,1062,{'javascript': 160070},User,https://api.github.com/repos/remy/min.js,2013-07-22T10:15:54Z,[],super minimal selector and event library
5089138,337,102,10,75,1044,"{'javascript': 10722, 'ruby': 861}",User,https://api.github.com/repos/nostalgiaz/bootstrap-toggle-buttons,2013-01-25T07:53:49Z,[],bootstrap toggle buttons has moved to https and and github com and nostalgiaz and bootstrap switch
3639793,1946,126,21,84,1028,"{'coffeescript': 37050, 'javascript': 100696, 'ruby': 62012}",Organization,https://api.github.com/repos/cloudfuji/kandan,2013-02-04T23:23:09Z,[],a cloudfuji chat application
328430,15818,753,4,88,1023,"{'javascript': 5946, 'python': 14251}",User,https://api.github.com/repos/gpjt/webgl-lessons,2013-04-10T18:01:09Z,[],https and and github com and tparisi and webgl lessons is now the officially maintained fork for this project
4184416,242,134,10,82,1020,"{'css': 120563, 'javascript': 95209}",User,https://api.github.com/repos/bwsewell/tablecloth,2013-09-26T19:08:21Z,[],a css and js bootstrap to style and manipulate data tables
470946,28012,198,1,52,1013,"{'java': 3564531, 'javascript': 3212043, 'php': 1576, 'python': 11977, 'scala': 240853, 'shell': 37822}",Organization,https://api.github.com/repos/ether/pad,2013-05-14T04:56:26Z,[],etherpad open source repository
1096127,29200,112,23,47,994,"{'c': 433503, 'c++': 1174680, 'javascript': 118987, 'objective-c': 30331, 'r': 340, 'shell': 3293}",User,https://api.github.com/repos/doug/depthjs,2013-04-15T20:28:20Z,[],depthjs allows any web page to interact with the microsoft kinect using javascript
