combo_id,combination,count,distribution,language_used
0,html javascript,566,0.10410152657715652,2
1,css html javascript,545,0.10023910244620195,3
2,css javascript,324,0.059591686591870516,2
3,c c++,259,0.047636564281773035,2
4,python shell,195,0.03586536693029244,2
5,javascript typescript,169,0.031083318006253448,2
6,html python,147,0.027036968916681992,2
7,html ruby,130,0.023910244620194962,2
8,css html javascript python,126,0.023174544785727422,4
9,javascript python,118,0.02170314511679235,2
10,css html javascript shell,104,0.019128195696155967,4
11,css html javascript ruby,103,0.018944270737539085,4
12,c python,102,0.0187603457789222,2
13,html javascript python,100,0.01839249586168843,3
14,css html,98,0.018024645944454663,2
15,makefile python,88,0.01618539635828582,2
16,html php,88,0.01618539635828582,2
17,objective-c ruby,83,0.015265771565201397,2
18,go shell,81,0.014897921647967629,2
19,html java,81,0.014897921647967629,2
20,javascript php,81,0.014897921647967629,2
21,css html javascript php,80,0.014713996689350745,4
22,objective-c ruby swift,79,0.014530071730733861,3
23,javascript shell,78,0.014346146772116977,2
24,java shell,78,0.014346146772116977,2
25,c c++ python,76,0.013978296854883207,3
26,html javascript typescript,74,0.013610446937649439,3
27,ruby shell,74,0.013610446937649439,2
28,css javascript php,71,0.013058672061798787,3
29,java javascript,69,0.012690822144565017,2
30,css html javascript python shell,69,0.012690822144565017,5
31,c++ python,68,0.012506897185948133,2
32,c++ cmake,68,0.012506897185948133,2
33,html javascript ruby,66,0.012139047268714365,3
34,objective-c swift,62,0.011403347434246827,2
35,c c++ cmake,61,0.011219422475629943,3
36,php shell,61,0.011219422475629943,2
37,html javascript shell,59,0.010851572558396175,3
38,css html javascript typescript,59,0.010851572558396175,4
39,makefile python shell,56,0.010299797682545521,3
40,javascript makefile,56,0.010299797682545521,2
41,go makefile,55,0.010115872723928637,2
42,c# powershell,53,0.00974802280669487,2
43,css html ruby,52,0.009564097848077983,3
44,javascript ruby,51,0.0093801728894611,2
45,ruby swift,50,0.009196247930844215,2
46,java kotlin,49,0.009012322972227331,2
47,java scala,46,0.008460548096376677,2
48,c objective-c,44,0.00809269817914291,2
49,c c++ objective-c,43,0.007908773220526025,3
50,c++ java,42,0.007724848261909141,2
51,coffeescript javascript,40,0.0,2
52,html python shell,39,0.0,3
53,c++ javascript,38,0.0,2
54,html javascript php,38,0.0,3
55,css html python,38,0.0,3
56,css php,38,0.0,2
57,c shell,37,0.0,2
58,c c++ makefile,36,0.0,3
59,css html javascript makefile,35,0.0,4
60,css javascript python,35,0.0,3
61,c c++ cmake python,34,0.0,4
62,html java javascript,34,0.0,3
63,go makefile shell,33,0.0,3
64,java python,33,0.0,2
65,c++ cmake python,32,0.0,3
66,groovy java,31,0.0,2
67,c python shell,31,0.0,3
68,html ruby shell,31,0.0,3
69,c makefile,30,0.0,2
70,css python,29,0.0,2
71,css javascript typescript,28,0.0,3
72,css html php,28,0.0,3
73,jupyter notebook python,28,0.0,3
74,css html java javascript,28,0.0,4
75,gherkin ruby,27,0.0,2
76,c makefile python,27,0.0,3
77,css html javascript ruby shell,26,0.0,5
78,coffeescript css html javascript,26,0.0,4
79,dockerfile shell,26,0.0,2
80,go html,25,0.0,2
81,css html javascript php shell,25,0.0,5
82,javascript shell typescript,25,0.0,3
83,css java,24,0.0,2
84,c c++ cmake python shell,24,0.0,5
85,css html java,23,0.0,3
86,batchfile python shell,23,0.0,3
87,c java,23,0.0,2
88,assembly c,23,0.0,2
89,c# javascript,22,0.0,2
90,html typescript,22,0.0,2
91,c lua,22,0.0,2
92,c c++ javascript python,21,0.0,4
93,coffeescript html javascript,21,0.0,3
94,html javascript makefile,21,0.0,3
95,c c++ makefile python,21,0.0,4
96,c roff,21,0.0,2
97,c++ javascript python,20,0.0,3
98,scala shell,20,0.0,2
99,c# html,20,0.0,2
100,css ruby,20,0.0,2
101,c c++ python shell,19,0.0,4
102,html java shell,19,0.0,3
103,c c++ javascript,19,0.0,3
104,coffeescript css html javascript ruby,19,0.0,5
105,dockerfile python shell,19,0.0,3
106,c c++ java,19,0.0,3
107,c c++ shell,19,0.0,3
108,css java javascript,19,0.0,3
109,c c++ m4,19,0.0,3
110,assembly c c++,18,0.0,3
111,html javascript shell typescript,18,0.0,4
112,css javascript ruby,18,0.0,3
113,shell vim script,18,0.0,3
114,go javascript,18,0.0,2
115,c c++ m4 makefile shell,18,0.0,5
116,c ruby,18,0.0,2
117,html javascript python shell,18,0.0,4
118,c php,18,0.0,2
119,css html javascript shell typescript,17,0.0,5
120,css dockerfile html javascript,17,0.0,4
121,java scala shell,17,0.0,3
122,rust shell,17,0.0,2
123,batchfile c#,17,0.0,2
124,html makefile python,17,0.0,3
125,c makefile shell,17,0.0,3
126,css javascript shell,16,0.0,3
127,c c++ lua,16,0.0,3
128,c javascript,16,0.0,2
129,css html javascript makefile shell,16,0.0,5
130,dockerfile go shell,16,0.0,3
131,c m4,16,0.0,2
132,go python,15,0.0,2
133,css html java javascript shell,15,0.0,5
134,c c++ cmake shell,15,0.0,4
135,dockerfile go makefile shell,15,0.0,4
136,javascript python shell,15,0.0,3
137,makefile php,15,0.0,2
138,objective-c ruby shell swift,15,0.0,4
139,c perl,15,0.0,2
140,java python shell,15,0.0,3
141,c# powershell shell,15,0.0,3
142,clojure html,15,0.0,2
143,makefile shell,14,0.0,2
144,c objective-c ruby swift,14,0.0,4
145,css dockerfile html javascript shell,14,0.0,5
146,batchfile python,14,0.0,2
147,c++ shell,14,0.0,2
148,c c++ makefile python shell,14,0.0,5
149,perl shell,14,0.0,2
150,c makefile python shell,14,0.0,4
