language_count,distribution,project_count
4,0.12487695120236254,888
6,0.05934467726058219,422
10,0.018703417240894388,133
5,0.08128252003937561,578
1,0.1943467866685417,1382
20,0.0028125439459991564,20
17,0.003937561524398819,28
13,0.009562649416397132,68
2,0.1812684573196456,1289
3,0.17254957108704824,1227
11,0.01659400928139502,118
7,0.03979749683588806,283
14,0.007312614259597806,52
16,0.004359443116298692,31
8,0.031078610603290677,221
23,0.0012656447756996202,9
9,0.021937842778793418,156
19,0.002250035156799325,16
18,0.0028125439459991564,20
15,0.004640697510898608,33
25,0.0012656447756996202,9
32,0.00042188159189987344,3
12,0.009703276613697088,69
21,0.0016875263675994938,12
22,0.0014062719729995782,10
34,0.00042188159189987344,3
65,0.0001406271972999578,1
149,0.0001406271972999578,1
88,0.0001406271972999578,1
40,0.0002812543945999156,2
26,0.00042188159189987344,3
78,0.0001406271972999578,1
37,0.0001406271972999578,1
24,0.00042188159189987344,3
41,0.0002812543945999156,2
43,0.0002812543945999156,2
30,0.0002812543945999156,2
31,0.0002812543945999156,2
29,0.0002812543945999156,2
33,0.0001406271972999578,1
27,0.00042188159189987344,3
51,0.0001406271972999578,1
35,0.0002812543945999156,2
28,0.0002812543945999156,2
