language,count,count_distribution,bytes,bytes_distribution,percentage_sum,percentage_avg,percentage_std,percentage_median,percentage_max,percentage_min
javascript,2995,0.42117845591337366,2005581496,0.07049747898903626,1471.3114762437094,0.4913,0.4162,0.4773,1.0,1.0902061131000613e-06
python,2045,0.2875826184784137,1894207567,0.06658261378148254,885.5703839442202,0.433,0.4388,0.1905,1.0,7.515578855520136e-07
java,979,0.1376740261566587,3944895254,0.1386656043833054,569.2035666137311,0.5814,0.4263,0.7858,1.0,5.845911393143858e-07
ruby,1276,0.17944030375474618,555641995,0.01953117335100238,467.06077842512997,0.366,0.4366,0.0351,1.0,2.735889410972585e-07
php,784,0.11025172268316692,1068390185,0.03755460187947907,460.17689408976025,0.587,0.4395,0.8357,1.0,4.6062268768925984e-07
c,1277,0.17958093095204614,6352514266,0.2232949605329267,394.827529786808,0.3092,0.3565,0.1061,1.0,2.8673062288787053e-07
c++,1080,0.15187737308395444,4151304677,0.14592102830405024,370.8648855206919,0.3434,0.3754,0.1263,1.0,2.8673062288787053e-07
go,461,0.06482913795528056,578192359,0.020323833143414585,332.68933421485974,0.7217,0.3954,0.9695,1.0,8.67192377957126e-06
html,2802,0.3940374068344818,1323983850,0.04653888352747264,325.51327898917447,0.1162,0.203,0.029,1.0,2.8138411721722684e-07
c#,377,0.05301645338208409,2359572421,0.08294048758642761,222.9710454213287,0.5914,0.4404,0.8623,1.0,5.810458788015443e-07
objective-c,728,0.10237659963436929,316961172,0.011141388972712335,204.09183391369882,0.2803,0.4019,0.0147,1.0,1.3505501846019215e-06
shell,3229,0.45408522008156377,177254027,0.006230593007103893,198.65601646699218,0.0615,0.1958,0.0035,1.0,5.22783604683051e-07
css,2083,0.29292645197581213,192299030,0.006759434535108541,184.63496713859135,0.0886,0.1743,0.0214,1.0,1.7709436080087162e-06
typescript,329,0.04626634791168612,367335532,0.012912080112797597,104.71325742322807,0.3183,0.3633,0.1188,1.0,1.1249888279928695e-05
swift,203,0.028547321051891436,49535787,0.0017412147600098695,98.3803941778614,0.4846,0.4331,0.4471,1.0,9.602205737916028e-07
vim script,188,0.02643791309239207,38886948,0.0013669012229347698,84.64773891135249,0.4503,0.4559,0.2506,1.0,1.0821093286616269e-05
scala,164,0.02306286035719308,184830579,0.006496913680930722,74.54365797256749,0.4545,0.4424,0.2638,1.0,1.549612940585225e-06
rust,96,0.01350021094079595,94486047,0.00332124529789718,55.24839545530829,0.5755,0.4613,0.8934,1.0,1.9341129342854763e-06
clojure,95,0.013359583743495992,23431923,0.0008236471580236475,51.287611364242494,0.5399,0.4556,0.754,1.0,1.627889270334779e-06
coffeescript,184,0.025875404303192236,20096556,0.0007064068636391082,44.52855200867768,0.242,0.3415,0.0409,1.0,4.536785909897782e-07
emacs lisp,155,0.02179721558149346,21976636,0.0007724928843578131,35.362173237165244,0.2281,0.3934,0.002,1.0,1.1214144846470207e-06
makefile,1772,0.24919139361552525,101241775,0.0035587134804095917,31.708119463267106,0.0179,0.0809,0.0035,1.0,6.788645225101835e-07
haskell,66,0.009281395021797216,35569547,0.001250292445000718,29.025103372878906,0.4398,0.4413,0.2214,1.0,3.5842830114022975e-06
perl,428,0.060188440444381944,161044626,0.0056608221407983125,28.56515582641999,0.0667,0.188,0.0036,1.0,1.2456988510072423e-06
kotlin,101,0.014203346927295739,90551620,0.0031829476593721,28.51678916286895,0.2823,0.3564,0.1207,1.0,1.4063827386830265e-05
jupyter notebook,79,0.011109548586696667,262506284,0.00922726465002247,25.437888240861536,0.322,0.3888,0.1054,0.9999673941138668,7.381454679021624e-05
lua,198,0.027844185065391647,71695478,0.002520142145305229,22.47527937423725,0.1135,0.2489,0.0057,1.0,2.8782866595698776e-07
