year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2010,0.592,0.274,0.078,0.026,0.009,0.004,0.005,0.002,0.003,0.003,0.001,0,0.001,0,0,0.001,0,0.001,0,0
2011,0.573,0.254,0.093,0.045,0.017,0.008,0.004,0.001,0.001,0,0.001,0,0.001,0,0.001,0,0,0,0,0
2012,0.557,0.233,0.112,0.047,0.018,0.013,0.003,0.007,0.005,0,0.001,0,0,0.001,0,0.001,0,0,0,0
2013,0.481,0.262,0.122,0.062,0.021,0.018,0.011,0.004,0.005,0.003,0.002,0.003,0.001,0,0.003,0.001,0,0,0,0
2014,0.368,0.354,0.138,0.062,0.033,0.014,0.01,0.007,0.005,0.001,0.001,0.001,0,0.001,0,0.001,0,0,0.001,0
2015,0.369,0.242,0.174,0.099,0.049,0.022,0.014,0.008,0.01,0.003,0.001,0.001,0.004,0.001,0,0,0.001,0,0.001,0
2016,0.37,0.249,0.162,0.1,0.046,0.029,0.009,0.007,0.006,0.005,0.001,0.001,0,0.001,0.003,0.003,0.002,0,0,0
2017,0.329,0.254,0.184,0.12,0.049,0.023,0.012,0.011,0.002,0.001,0.006,0.003,0.001,0,0,0.001,0.001,0,0.001,0
2018,0.321,0.212,0.205,0.107,0.052,0.036,0.021,0.017,0.011,0.006,0.002,0.001,0.003,0,0.001,0.001,0,0.001,0.001,0
2019,0.261,0.203,0.199,0.141,0.077,0.037,0.021,0.014,0.012,0.008,0.007,0.002,0.006,0.004,0.002,0.001,0.002,0,0.001,0
