year,ruby,javascript,python,objective-c,c,php,java,c++,c#,actionscript,vim script,clojure,shell,scala,haskell,go,emacs lisp,perl,lua,r,coffeescript,scheme,groovy,css,assembly,asp
2010,1,2,3,4,5,6,8,7,10,11,13,14,12,17,18,22,16,15,21,29,30,28,25,35,34,32
2011,2,1,4,3,6,5,7,8,10,9,14,12,11,18,21,19,16,17,20,22,15,27,28,34,23,37
2012,3,1,4,2,6,7,5,8,10,15,16,11,9,12,22,18,21,14,24,19,13,30,45,40,29,37
2013,3,1,4,2,6,8,5,9,13,14,18,12,10,17,20,15,25,16,21,29,11,50,26,7,23,44
2014,5,1,4,2,7,9,3,8,13,23,16,12,11,15,31,10,19,22,20,18,14,40,21,6,42,66
2015,5,1,4,3,8,10,2,9,15,17,19,16,12,18,20,11,37,29,57,54,14,32,22,6,39,59
2016,5,1,4,3,8,11,2,10,14,69,16,38,13,18,26,12,63,29,30,32,15,31,20,6,28,67
2017,8,1,4,3,9,11,2,12,14,28,17,29,10,21,34,13,43,35,20,37,15,88,32,6,33,97
2018,9,1,3,4,11,10,2,8,14,57,21,20,13,22,45,6,25,27,18,54,17,106,29,7,37,46
2019,13,1,2,10,14,11,3,9,16,38,17,30,7,28,42,4,48,21,29,31,19,112,27,6,33,110
